08206900 Elevation,08206900 Capacity
132.3,1.0
132.4,1.0
132.5,1.0
132.6,1.0
132.7,1.0
132.8,1.0
132.9,1.0
133.0,1.0
133.1,1.0
133.2,1.0
133.3,1.0
133.4,1.0
133.5,1.0
133.6,2.0
133.7,2.0
133.8,2.0
133.9,2.0
134.0,2.0
134.1,2.0
134.2,2.0
134.3,3.0
134.4,3.0
134.5,3.0
134.6,3.0
134.7,3.0
134.8,4.0
134.9,4.0
135.0,4.0
135.1,4.0
135.2,5.0
135.3,5.0
135.4,5.0
135.5,5.0
135.6,6.0
135.7,6.0
135.8,6.0
135.9,7.0
136.0,7.0
136.1,7.0
136.2,8.0
136.3,8.0
136.4,9.0
136.5,9.0
136.6,9.0
136.7,10.0
136.8,10.0
136.9,11.0
137.0,11.0
137.1,12.0
137.2,12.0
137.3,13.0
137.4,14.0
137.5,14.0
137.6,15.0
137.7,15.0
137.8,16.0
137.9,17.0
138.0,18.0
138.1,18.0
138.2,19.0
138.3,20.0
138.4,21.0
138.5,22.0
138.6,23.0
138.7,24.0
138.8,25.0
138.9,26.0
139.0,27.0
139.1,28.0
139.2,29.0
139.3,30.0
139.4,31.0
139.5,33.0
139.6,34.0
139.7,35.0
139.8,36.0
139.9,38.0
140.0,39.0
140.1,41.0
140.2,43.0
140.3,44.0
140.4,46.0
140.5,48.0
140.6,50.0
140.7,52.0
140.8,54.0
140.9,56.0
141.0,59.0
141.1,61.0
141.2,64.0
141.3,67.0
141.4,70.0
141.5,73.0
141.6,76.0
141.7,79.0
141.8,82.0
141.9,85.0
142.0,88.0
142.1,92.0
142.2,95.0
142.3,99.0
142.4,102.0
142.5,106.0
142.6,109.0
142.7,113.0
142.8,117.0
142.9,121.0
143.0,125.0
143.1,129.0
143.2,133.0
143.3,137.0
143.4,141.0
143.5,146.0
143.6,150.0
143.7,154.0
143.8,159.0
143.9,164.0
144.0,168.0
144.1,173.0
144.2,178.0
144.3,183.0
144.4,188.0
144.5,193.0
144.6,198.0
144.7,203.0
144.8,209.0
144.9,214.0
145.0,220.0
145.1,226.0
145.2,231.0
145.3,237.0
145.4,244.0
145.5,250.0
145.6,256.0
145.7,263.0
145.8,269.0
145.9,276.0
146.0,283.0
146.1,290.0
146.2,298.0
146.3,305.0
146.4,313.0
146.5,321.0
146.6,330.0
146.7,338.0
146.8,347.0
146.9,357.0
147.0,366.0
147.1,376.0
147.2,386.0
147.3,397.0
147.4,407.0
147.5,418.0
147.6,430.0
147.7,441.0
147.8,453.0
147.9,465.0
148.0,477.0
148.1,489.0
148.2,502.0
148.3,515.0
148.4,528.0
148.5,541.0
148.6,555.0
148.7,568.0
148.8,583.0
148.9,597.0
149.0,611.0
149.1,626.0
149.2,641.0
149.3,656.0
149.4,672.0
149.5,688.0
149.6,704.0
149.7,720.0
149.8,737.0
149.9,754.0
150.0,771.0
150.1,789.0
150.2,806.0
150.3,824.0
150.4,843.0
150.5,861.0
150.6,880.0
150.7,900.0
150.8,919.0
150.9,939.0
151.0,959.0
151.1,980.0
151.2,1001.0
151.3,1022.0
151.4,1043.0
151.5,1065.0
151.6,1087.0
151.7,1110.0
151.8,1133.0
151.9,1156.0
152.0,1180.0
152.1,1204.0
152.2,1229.0
152.3,1254.0
152.4,1279.0
152.5,1305.0
152.6,1331.0
152.7,1358.0
152.8,1385.0
152.9,1412.0
153.0,1440.0
153.1,1469.0
153.2,1498.0
153.3,1527.0
153.4,1557.0
153.5,1587.0
153.6,1618.0
153.7,1649.0
153.8,1681.0
153.9,1713.0
154.0,1746.0
154.1,1779.0
154.2,1813.0
154.3,1847.0
154.4,1882.0
154.5,1917.0
154.6,1953.0
154.7,1989.0
154.8,2026.0
154.9,2063.0
155.0,2101.0
155.1,2139.0
155.2,2178.0
155.3,2218.0
155.4,2258.0
155.5,2299.0
155.6,2340.0
