08131200 Elevation,08131200 Capacity
1870.01,0.1
1870.02,0.1
1870.03,0.2
1870.04,0.3
1870.05,0.4
1870.06,0.4
1870.07,0.5
1870.08,0.6
1870.09,0.6
1870.1,0.7
1870.11,0.8
1870.12,0.8
1870.13,0.9
1870.14,1.0
1870.15,1.1
1870.16,1.1
1870.17,1.2
1870.18,1.3
1870.19,1.3
1870.2,1.4
1870.21,1.5
1870.22,1.5
1870.23,1.6
1870.24,1.7
1870.25,1.8
1870.26,1.8
1870.27,1.9
1870.28,2.0
1870.29,2.0
1870.3,2.1
1870.31,2.2
1870.32,2.2
1870.33,2.3
1870.34,2.4
1870.35,2.4
1870.36,2.5
1870.37,2.6
1870.38,2.7
1870.39,2.7
1870.4,2.8
1870.41,2.9
1870.42,2.9
1870.43,3.0
1870.44,3.1
1870.45,3.1
1870.46,3.2
1870.47,3.3
1870.48,3.4
1870.49,3.4
1870.5,3.5
1870.51,3.6
1870.52,3.6
1870.53,3.7
1870.54,3.8
1870.55,3.9
1870.56,3.9
1870.57,4.0
1870.58,4.1
1870.59,4.1
1870.6,4.2
1870.61,4.3
1870.62,4.3
1870.63,4.4
1870.64,4.5
1870.65,4.6
1870.66,4.6
1870.67,4.7
1870.68,4.8
1870.69,4.8
1870.7,4.9
1870.71,5.0
1870.72,5.0
1870.73,5.1
1870.74,5.2
1870.75,5.2
1870.76,5.3
1870.77,5.4
1870.78,5.5
1870.79,5.5
1870.8,5.6
1870.81,5.7
1870.82,5.7
1870.83,5.8
1870.84,5.9
1870.85,5.9
1870.86,6.0
1870.87,6.1
1870.88,6.2
1870.89,6.2
1870.9,6.3
1870.91,6.4
1870.92,6.4
1870.93,6.5
1870.94,6.6
1870.95,6.6
1870.96,6.7
1870.97,6.8
1870.98,6.9
1870.99,6.9
1871.0,7.0
1871.01,7.2
1871.02,7.4
1871.03,7.6
1871.04,7.8
1871.05,8.0
1871.06,8.2
1871.07,8.4
1871.08,8.6
1871.09,8.8
1871.1,9.0
1871.11,9.2
1871.12,9.4
1871.13,9.6
1871.14,9.8
1871.15,10.0
1871.16,10.2
1871.17,10.4
1871.18,10.6
1871.19,10.8
1871.2,11.0
1871.21,11.2
1871.22,11.4
1871.23,11.6
1871.24,11.8
1871.25,12.0
1871.26,12.2
1871.27,12.4
1871.28,12.6
1871.29,12.8
1871.3,13.0
1871.31,13.2
1871.32,13.4
1871.33,13.6
1871.34,13.8
1871.35,14.0
1871.36,14.2
1871.37,14.4
1871.38,14.6
1871.39,14.8
1871.4,15.0
1871.41,15.2
1871.42,15.4
1871.43,15.6
1871.44,15.8
1871.45,16.0
1871.46,16.2
1871.47,16.4
1871.48,16.6
1871.49,16.8
1871.5,17.0
1871.51,17.2
1871.52,17.4
1871.53,17.6
1871.54,17.8
1871.55,18.0
1871.56,18.2
1871.57,18.4
1871.58,18.6
1871.59,18.8
1871.6,19.0
1871.61,19.2
1871.62,19.4
1871.63,19.6
1871.64,19.8
1871.65,20.0
1871.66,20.2
1871.67,20.4
1871.68,20.6
1871.69,20.8
1871.7,21.0
1871.71,21.2
1871.72,21.4
1871.73,21.6
1871.74,21.8
1871.75,22.0
1871.76,22.2
1871.77,22.4
1871.78,22.6
1871.79,22.8
1871.8,23.0
1871.81,23.2
1871.82,23.4
1871.83,23.6
1871.84,23.8
1871.85,24.0
1871.86,24.2
1871.87,24.4
1871.88,24.6
1871.89,24.8
1871.9,25.0
1871.91,25.2
1871.92,25.4
1871.93,25.6
1871.94,25.8
1871.95,26.0
1871.96,26.2
1871.97,26.4
1871.98,26.6
1871.99,26.8
1872.0,27.0
1872.01,27.3
1872.02,27.7
1872.03,28.0
1872.04,28.3
1872.05,28.7
1872.06,29.0
1872.07,29.3
1872.08,29.6
1872.09,30.0
1872.1,30.3
1872.11,30.6
1872.12,31.0
1872.13,31.3
1872.14,31.6
1872.15,32.0
1872.16,32.3
1872.17,32.6
1872.18,32.9
1872.19,33.3
1872.2,33.6
1872.21,33.9
1872.22,34.3
1872.23,34.6
1872.24,34.9
1872.25,35.2
1872.26,35.6
1872.27,35.9
1872.28,36.2
1872.29,36.6
1872.3,36.9
1872.31,37.2
1872.32,37.6
1872.33,37.9
1872.34,38.2
1872.35,38.5
1872.36,38.9
1872.37,39.2
1872.38,39.5
1872.39,39.9
1872.4,40.2
1872.41,40.5
1872.42,40.9
1872.43,41.2
1872.44,41.5
1872.45,41.8
1872.46,42.2
1872.47,42.5
1872.48,42.8
1872.49,43.2
1872.5,43.5
1872.51,43.8
1872.52,44.2
1872.53,44.5
1872.54,44.8
1872.55,45.2
1872.56,45.5
1872.57,45.8
1872.58,46.1
1872.59,46.5
1872.6,46.8
1872.61,47.1
1872.62,47.5
1872.63,47.8
1872.64,48.1
1872.65,48.5
1872.66,48.8
1872.67,49.1
1872.68,49.4
1872.69,49.8
1872.7,50.1
1872.71,50.4
1872.72,50.8
1872.73,51.1
1872.74,51.4
1872.75,51.8
1872.76,52.1
1872.77,52.4
1872.78,52.7
1872.79,53.1
1872.8,53.4
1872.81,53.7
1872.82,54.1
1872.83,54.4
1872.84,54.7
1872.85,55.0
1872.86,55.4
1872.87,55.7
1872.88,56.0
1872.89,56.4
1872.9,56.7
1872.91,57.0
1872.92,57.4
1872.93,57.7
1872.94,58.0
1872.95,58.3
1872.96,58.7
1872.97,59.0
1872.98,59.3
1872.99,59.7
1873.0,60.0
1873.01,60.5
1873.02,60.9
1873.03,61.4
1873.04,61.8
1873.05,62.3
1873.06,62.8
1873.07,63.2
1873.08,63.7
1873.09,64.1
1873.1,64.6
1873.11,65.1
1873.12,65.5
1873.13,66.0
1873.14,66.4
1873.15,66.9
1873.16,67.4
1873.17,67.8
1873.18,68.3
1873.19,68.7
1873.2,69.2
1873.21,69.7
1873.22,70.1
1873.23,70.6
1873.24,71.0
1873.25,71.5
1873.26,72.0
1873.27,72.4
1873.28,72.9
1873.29,73.3
1873.3,73.8
1873.31,74.3
1873.32,74.7
1873.33,75.2
1873.34,75.6
1873.35,76.1
1873.36,76.6
1873.37,77.0
1873.38,77.5
1873.39,77.9
1873.4,78.4
1873.41,78.9
1873.42,79.3
1873.43,79.8
1873.44,80.2
1873.45,80.7
1873.46,81.2
1873.47,81.6
1873.48,82.1
1873.49,82.5
1873.5,83.0
1873.51,83.5
1873.52,83.9
1873.53,84.4
1873.54,84.8
1873.55,85.3
1873.56,85.8
1873.57,86.2
1873.58,86.7
1873.59,87.1
1873.6,87.6
1873.61,88.1
1873.62,88.5
1873.63,89.0
