08067600 Elevation,08067600 Capacity
122.5,0.0
122.6,0.0
122.7,0.0
122.8,0.0
122.9,0.0
123.0,0.0
123.1,0.0
123.2,0.0
123.3,0.0
123.4,0.0
123.5,0.0
123.6,0.0
123.7,0.0
123.8,0.0
123.9,0.0
124.0,0.0
124.1,0.0
124.2,0.0
124.3,0.0
124.4,0.0
124.5,0.0
124.6,0.0
124.7,0.0
124.8,0.0
124.9,0.0
125.0,0.0
125.1,0.0
125.2,0.0
125.3,0.0
125.4,0.01
125.5,0.01
125.6,0.01
125.7,0.01
125.8,0.01
125.9,0.01
126.0,0.01
126.1,0.01
126.2,0.01
126.3,0.01
126.4,0.01
126.5,0.01
126.6,0.02
126.7,0.02
126.8,0.02
126.9,0.02
127.0,0.02
127.1,0.02
127.2,0.02
127.3,0.03
127.4,0.03
127.5,0.03
127.6,0.03
127.7,0.03
127.8,0.03
127.9,0.04
128.0,0.04
128.1,0.04
128.2,0.04
128.3,0.04
128.4,0.05
128.5,0.05
128.6,0.05
128.7,0.05
128.8,0.06
128.9,0.06
129.0,0.06
129.1,0.06
129.2,0.07
129.3,0.07
129.4,0.07
129.5,0.07
129.6,0.08
129.7,0.08
129.8,0.08
129.9,0.09
130.0,0.09
130.1,0.09
130.2,0.1
130.3,0.1
130.4,0.1
130.5,0.11
130.6,0.11
130.7,0.11
130.8,0.12
130.9,0.12
131.0,0.12
131.1,0.13
131.2,0.13
131.3,0.14
131.4,0.14
131.5,0.14
131.6,0.15
131.7,0.15
131.8,0.16
131.9,0.16
132.0,0.16
132.1,0.17
132.2,0.17
132.3,0.18
132.4,0.18
132.5,0.19
132.6,0.19
132.7,0.2
132.8,0.2
132.9,0.21
133.0,0.21
133.1,0.22
133.2,0.22
133.3,0.23
133.4,0.23
133.5,0.24
133.6,0.24
133.7,0.25
133.8,0.26
133.9,0.26
134.0,0.27
134.1,0.28
134.2,0.28
134.3,0.29
134.4,0.3
134.5,0.31
134.6,0.32
134.7,0.33
134.8,0.35
134.9,0.36
135.0,0.37
135.1,0.39
135.2,0.41
135.3,0.43
135.4,0.45
135.5,0.47
135.6,0.49
135.7,0.52
135.8,0.54
135.9,0.57
136.0,0.6
136.1,0.63
136.2,0.67
136.3,0.7
136.4,0.74
136.5,0.78
136.6,0.82
136.7,0.86
136.8,0.91
136.9,0.96
137.0,1.01
137.1,1.06
137.2,1.12
137.3,1.19
137.4,1.25
137.5,1.32
137.6,1.39
137.7,1.47
137.8,1.55
137.9,1.63
138.0,1.72
138.1,1.81
138.2,1.9
138.3,2.0
138.4,2.11
138.5,2.22
138.6,2.33
138.7,2.46
138.8,2.58
138.9,2.71
139.0,2.85
139.1,2.99
139.2,3.14
139.3,3.3
139.4,3.47
139.5,3.64
139.6,3.81
139.7,4.0
139.8,4.19
139.9,4.4
140.0,4.61
140.1,4.83
140.2,5.07
140.3,5.31
140.4,5.57
140.5,5.84
140.6,6.13
140.7,6.42
140.8,6.74
140.9,7.07
141.0,7.41
141.1,7.77
141.2,8.15
141.3,8.55
141.4,8.97
141.5,9.4
141.6,9.86
141.7,10.34
141.8,10.84
141.9,11.37
142.0,11.92
142.1,12.51
142.2,13.12
142.3,13.77
142.4,14.45
142.5,15.17
142.6,15.92
142.7,16.71
142.8,17.54
142.9,18.41
143.0,19.33
143.1,20.29
143.2,21.3
143.3,22.35
143.4,23.46
143.5,24.62
143.6,25.84
143.7,27.13
143.8,28.48
143.9,29.89
144.0,31.39
144.1,32.96
144.2,34.61
144.3,36.35
144.4,38.19
144.5,40.12
144.6,42.16
144.7,44.31
144.8,46.57
144.9,48.96
145.0,51.47
145.1,54.13
145.2,56.93
145.3,59.89
145.4,63.02
145.5,66.34
145.6,69.89
145.7,73.66
145.8,77.65
145.9,81.88
146.0,86.35
146.1,91.07
146.2,96.04
146.3,101.28
146.4,106.81
146.5,112.63
146.6,118.78
146.7,125.26
146.8,132.07
146.9,139.23
147.0,146.74
147.1,154.62
147.2,162.89
147.3,171.56
147.4,180.68
147.5,190.26
147.6,200.35
147.7,210.99
147.8,222.23
147.9,234.12
148.0,246.7
148.1,260.02
148.2,274.1
148.3,288.97
148.4,304.7
148.5,321.31
148.6,338.85
148.7,357.36
148.8,376.85
148.9,397.37
149.0,418.97
149.1,441.67
149.2,465.51
149.3,490.5
149.4,516.61
149.5,543.86
149.6,572.25
149.7,601.75
149.8,632.39
149.9,664.15
150.0,697.05
150.1,731.1
150.2,766.34
150.3,802.81
150.4,840.44
150.5,879.27
150.6,919.28
150.7,960.5
150.8,1002.99
150.9,1046.81
151.0,1092.0
151.1,1138.56
151.2,1186.51
151.3,1235.85
151.4,1286.62
151.5,1338.84
