08118000 Elevation,08118000 Capacity
2194.6,0.0
2194.7,0.01
2194.8,0.07
2194.9,0.25
2195.0,0.62
2195.1,1.25
2195.2,2.29
2195.3,3.8
2195.4,5.73
2195.5,8.1
2195.6,10.88
2195.7,14.0
2195.8,17.48
2195.9,21.33
2196.0,25.57
2196.1,30.28
2196.2,35.77
2196.3,42.15
2196.4,49.18
2196.5,56.76
2196.6,64.74
2196.7,73.02
2196.8,81.61
2196.9,90.49
2197.0,99.82
2197.1,109.61
2197.2,119.91
2197.3,130.88
2197.4,142.52
2197.5,154.73
2197.6,167.46
2197.7,180.72
2197.8,194.62
2197.9,208.99
2198.0,224.0
2198.1,239.65
2198.2,255.95
2198.3,273.1
2198.4,291.12
2198.5,310.11
2198.6,329.91
2198.7,350.38
2198.8,371.52
2198.9,393.2
2199.0,415.58
2199.1,438.6
2199.2,462.19
2199.3,486.43
2199.4,511.24
2199.5,536.74
2199.6,562.86
2199.7,589.48
2199.8,616.7
2199.9,644.34
2200.0,672.58
2200.1,701.33
2200.2,730.49
2200.3,760.18
2200.4,790.26
2200.5,820.89
2200.6,851.97
2200.7,883.46
2200.8,915.55
2200.9,948.1
2201.0,981.27
2201.1,1014.91
2201.2,1048.95
2201.3,1083.55
2201.4,1118.6
2201.5,1154.22
2201.6,1190.27
2201.7,1226.61
2201.8,1263.43
2201.9,1300.53
2202.0,1338.11
2202.1,1376.1
2202.2,1414.37
2202.3,1453.11
2202.4,1492.13
2202.5,1531.64
2202.6,1571.68
2202.7,1612.07
2202.8,1653.02
2202.9,1694.41
2203.0,1736.43
2203.1,1779.01
2203.2,1822.03
2203.3,1865.6
2203.4,1909.49
2203.5,1953.98
2203.6,1999.09
2203.7,2044.6
2203.8,2090.67
2203.9,2137.1
2204.0,2184.15
2204.1,2231.75
2204.2,2279.88
2204.3,2328.89
2204.4,2378.63
2204.5,2429.3
2204.6,2480.85
2204.7,2533.3
2204.8,2586.98
2204.9,2641.49
2205.0,2697.0
2205.1,2753.37
2205.2,2810.54
2205.3,2868.88
2205.4,2928.08
2205.5,2988.42
2205.6,3049.66
2205.7,3111.71
2205.8,3174.9
2205.9,3238.89
2206.0,3304.01
2206.1,3370.16
2206.2,3437.18
2206.3,3505.46
2206.4,3574.6
2206.5,3644.95
2206.6,3716.31
2206.7,3788.68
2206.8,3862.38
2206.9,3937.04
2207.0,4013.28
2207.1,4091.15
2207.2,4170.32
2207.3,4251.17
2207.4,4333.2
2207.5,4416.98
2207.6,4502.4
2207.7,4589.03
2207.8,4677.17
2207.9,4766.2
2208.0,4856.41
2208.1,4947.46
2208.2,5039.05
2208.3,5131.67
2208.4,5224.87
2208.5,5319.11
2208.6,5414.17
2208.7,5509.91
2208.8,5607.03
2208.9,5705.15
2209.0,5804.72
2209.1,5905.51
2209.2,6007.31
2209.3,6110.61
2209.4,6214.99
2209.5,6320.97
2209.6,6428.35
2209.7,6536.94
2209.8,6647.33
2209.9,6759.08
2210.0,6872.78
2210.1,6988.19
2210.2,7104.98
2210.3,7223.72
2210.4,7343.81
2210.5,7465.84
2210.6,7589.48
2210.7,7714.43
2210.8,7841.24
2210.9,7969.2
2211.0,8098.87
2211.1,8229.86
2211.2,8361.82
