08045800 Elevation,08045800 Capacity
857.7,0.03
857.8,0.13
857.9,0.28
858.0,0.5
858.1,0.77
858.2,1.13
858.3,1.58
858.4,2.1
858.5,2.71
858.6,3.4
858.7,4.18
858.8,5.08
858.9,6.08
859.0,7.2
859.1,8.45
859.2,9.81
859.3,11.24
859.4,12.76
859.5,14.36
859.6,16.03
859.7,17.78
859.8,19.6
859.9,21.5
860.0,23.48
860.1,25.55
860.2,27.7
860.3,29.93
860.4,32.23
860.5,34.59
860.6,37.03
860.7,39.55
860.8,42.13
860.9,44.77
861.0,47.47
861.1,50.23
861.2,53.05
861.3,55.93
861.4,58.88
861.5,61.9
861.6,65.01
861.7,68.22
861.8,71.52
861.9,74.92
862.0,78.4
862.1,82.01
862.2,85.77
862.3,89.67
862.4,93.72
862.5,97.91
862.6,102.23
862.7,106.7
862.8,111.31
862.9,116.1
863.0,121.06
863.1,126.1
863.2,131.23
863.3,136.44
863.4,141.74
863.5,147.12
863.6,152.6
863.7,158.16
863.8,163.82
863.9,169.56
864.0,175.38
864.1,181.27
864.2,187.26
864.3,193.33
864.4,199.49
864.5,205.74
864.6,212.1
864.7,218.58
864.8,225.19
864.9,231.96
865.0,238.86
865.1,245.88
865.2,253.03
865.3,260.31
865.4,267.72
865.5,275.27
865.6,282.96
865.7,290.8
865.8,298.79
865.9,306.95
866.0,315.26
866.1,323.73
866.2,332.39
866.3,341.21
866.4,350.22
866.5,359.4
866.6,368.78
866.7,378.36
866.8,388.15
866.9,398.18
867.0,408.43
867.1,418.95
867.2,429.75
867.3,440.84
867.4,452.24
867.5,463.95
867.6,475.99
867.7,488.34
867.8,500.99
867.9,513.92
868.0,527.08
868.1,540.47
868.2,554.08
868.3,567.92
868.4,582.0
868.5,596.31
868.6,610.87
868.7,625.67
868.8,640.71
868.9,656.0
869.0,671.53
869.1,687.29
869.2,703.32
869.3,719.58
869.4,736.09
869.5,752.86
869.6,769.88
869.7,787.17
869.8,804.72
869.9,822.58
870.0,840.72
870.1,859.16
870.2,877.91
870.3,896.96
870.4,916.33
870.5,935.98
870.6,955.92
870.7,976.18
870.8,996.74
870.9,1017.6
871.0,1038.73
871.1,1060.14
871.2,1081.85
871.3,1103.84
871.4,1126.12
871.5,1148.66
871.6,1171.48
871.7,1194.58
871.8,1217.94
871.9,1241.57
872.0,1265.46
872.1,1289.61
872.2,1314.04
872.3,1338.73
872.4,1363.7
872.5,1388.92
872.6,1414.41
872.7,1440.2
872.8,1466.27
872.9,1492.66
873.0,1519.32
873.1,1546.28
873.2,1573.53
873.3,1601.07
873.4,1628.91
873.5,1657.03
873.6,1685.46
873.7,1714.21
873.8,1743.25
873.9,1772.62
874.0,1802.27
874.1,1832.24
874.2,1862.54
874.3,1893.14
874.4,1924.08
874.5,1955.34
874.6,1986.93
874.7,2018.89
874.8,2051.2
874.9,2083.94
875.0,2117.11
875.1,2150.71
875.2,2184.77
875.3,2219.23
875.4,2254.14
875.5,2289.42
875.6,2325.08
875.7,2361.12
875.8,2397.5
875.9,2434.25
876.0,2471.33
876.1,2508.78
876.2,2546.61
876.3,2584.78
876.4,2623.35
876.5,2662.26
876.6,2701.54
876.7,2741.2
876.8,2781.21
876.9,2821.63
877.0,2862.4
877.1,2903.55
877.2,2945.11
877.3,2987.04
877.4,3029.39
877.5,3072.13
877.6,3115.27
877.7,3158.83
877.8,3202.74
877.9,3247.07
878.0,3291.77
878.1,3336.9
878.2,3382.48
878.3,3428.46
878.4,3474.9
878.5,3521.73
878.6,3568.99
878.7,3616.68
878.8,3664.73
878.9,3713.18
879.0,3762.0
879.1,3811.22
879.2,3860.9
879.3,3911.01
879.4,3961.68
879.5,4012.93
879.6,4064.72
879.7,4117.03
879.8,4169.92
879.9,4223.49
880.0,4277.54
880.1,4332.16
880.2,4387.48
880.3,4443.55
880.4,4500.5
880.5,4558.17
880.6,4616.51
880.7,4675.55
880.8,4735.25
880.9,4795.66
881.0,4856.67
881.1,4918.3
881.2,4980.56
881.3,5043.36
881.4,5106.75
881.5,5170.67
881.6,5235.13
881.7,5300.16
881.8,5365.66
881.9,5431.67
882.0,5498.09
882.1,5564.97
882.2,5632.33
882.3,5700.09
882.4,5768.3
882.5,5836.81
882.6,5905.66
882.7,5974.86
882.8,6044.32
882.9,6114.11
883.0,6184.16
883.1,6254.49
883.2,6325.13
883.3,6396.01
883.4,6467.2
883.5,6538.62
883.6,6610.31
883.7,6682.32
883.8,6754.56
883.9,6827.13
884.0,6899.94
884.1,6973.05
884.2,7046.5
884.3,7120.2
884.4,7194.23
884.5,7268.51
884.6,7343.08
884.7,7418.02
884.8,7493.25
884.9,7568.84
885.0,7644.72
885.1,7720.92
885.2,7797.5
885.3,7874.37
885.4,7951.63
885.5,8029.18
885.6,8107.1
885.7,8185.43
885.8,8264.09
885.9,8343.18
886.0,8422.62
886.1,8502.45
886.2,8582.71
886.3,8663.31
886.4,8744.32
886.5,8825.66
886.6,8907.38
886.7,8989.54
886.8,9072.1
886.9,9155.21
887.0,9238.56
887.1,9322.2
887.2,9406.17
887.3,9490.35
887.4,9574.85
887.5,9659.57
887.6,9744.57
887.7,9829.92
887.8,9915.51
887.9,10001.43
888.0,10087.58
888.1,10173.99
888.2,10260.72
888.3,10347.66
888.4,10434.92
888.5,10522.38
888.6,10610.09
888.7,10698.1
888.8,10786.31
888.9,10874.82
889.0,10963.51
889.1,11052.45
889.2,11141.67
889.3,11231.09
889.4,11320.79
889.5,11410.67
889.6,11500.78
889.7,11591.17
889.8,11681.73
889.9,11772.56
890.0,11863.56
890.1,11954.79
890.2,12046.29
890.3,12137.97
890.4,12229.94
890.5,12322.09
890.6,12414.47
890.7,12507.14
890.8,12600.0
890.9,12693.16
891.0,12786.5
891.1,12880.09
891.2,12973.98
891.3,13068.05
891.4,13162.44
891.5,13257.02
891.6,13351.85
891.7,13446.99
891.8,13542.33
891.9,13637.99
892.0,13733.85
892.1,13829.97
892.2,13926.41
892.3,14023.06
892.4,14120.03
892.5,14217.22
892.6,14314.68
892.7,14412.47
892.8,14510.47
892.9,14608.82
893.0,14707.39
893.1,14806.23
893.2,14905.43
893.3,15004.84
893.4,15104.61
893.5,15204.61
893.6,15304.91
893.7,15405.56
893.8,15506.46
893.9,15607.72
894.0,15709.24
894.1,15811.06
894.2,15913.26
894.3,16015.72
894.4,16118.57
894.5,16221.68
894.6,16325.13
894.7,16428.97
894.8,16533.09
894.9,16637.62
895.0,16742.44
895.1,16847.63
895.2,16953.24
895.3,17059.17
895.4,17165.55
895.5,17272.26
895.6,17379.37
895.7,17486.97
895.8,17594.95
895.9,17703.47
896.0,17812.47
896.1,17921.67
896.2,18031.39
896.3,18141.54
896.4,18252.1
896.5,18363.09
896.6,18474.51
896.7,18586.34
896.8,18698.6
896.9,18811.28
897.0,18924.39
897.1,19037.91
897.2,19151.86
897.3,19266.23
897.4,19381.03
897.5,19496.25
897.6,19611.89
897.7,19727.95
897.8,19844.44
897.9,19961.35
898.0,20078.68
898.1,20196.43
898.2,20314.61
898.3,20433.21
898.4,20552.24
898.5,20671.68
898.6,20791.55
898.7,20911.84
898.8,21032.56
898.9,21153.7
899.0,21275.26
899.1,21397.24
899.2,21519.65
899.3,21642.48
899.4,21765.73
