date,cs,c_elev
2010-01-01,17728.5,1368.55
2010-01-02,17728.5,1368.55
2010-01-03,17705.5,1368.53
2010-01-04,17694.0,1368.52
2010-01-05,17682.5,1368.51
2010-01-06,17682.5,1368.51
2010-01-07,17671.0,1368.5
2010-01-08,17648.0,1368.48
2010-01-09,17625.0,1368.46
2010-01-10,17613.5,1368.45
2010-01-11,17613.5,1368.45
2010-01-12,17613.5,1368.45
2010-01-13,17602.0,1368.44
2010-01-14,17613.5,1368.45
2010-01-15,17625.0,1368.46
2010-01-16,17625.0,1368.46
2010-01-17,17625.0,1368.46
2010-01-18,17613.5,1368.45
2010-01-19,17613.5,1368.45
2010-01-20,17613.5,1368.45
2010-01-21,17613.5,1368.45
2010-01-22,17602.0,1368.44
2010-01-23,17602.0,1368.44
2010-01-24,17602.0,1368.44
2010-01-25,17590.5,1368.43
2010-01-26,17579.0,1368.42
2010-01-27,17579.0,1368.42
2010-01-28,17682.5,1368.51
2010-01-29,17943.0,1368.74
2010-01-30,17976.0,1368.77
2010-01-31,17987.0,1368.78
2010-02-01,17998.0,1368.79
2010-02-02,18009.0,1368.8
2010-02-03,18030.799999999952,1368.82
2010-02-04,18118.0,1368.9
2010-02-05,18161.2,1368.94
2010-02-06,18172.0,1368.95
2010-02-07,18172.0,1368.95
2010-02-08,18226.0,1369.0
2010-02-09,18270.0,1369.04
2010-02-10,18281.0,1369.05
2010-02-11,18336.0,1369.1
2010-02-12,18414.400000000078,1369.17
2010-02-13,18482.2,1369.23
2010-02-14,18527.8,1369.27
2010-02-15,18550.6,1369.29
2010-02-16,18550.6,1369.29
2010-02-17,18562.0,1369.3
2010-02-18,18562.0,1369.3
2010-02-19,18573.399999999972,1369.31
2010-02-20,18596.19999999992,1369.33
2010-02-21,18607.599999999897,1369.34
2010-02-22,18607.599999999897,1369.34
2010-02-23,18618.99999999987,1369.35
2010-02-24,18641.799999999817,1369.37
2010-02-25,18641.799999999817,1369.37
2010-02-26,18641.799999999817,1369.37
2010-02-27,18641.799999999817,1369.37
2010-02-28,18641.799999999817,1369.37
2010-03-01,18687.2,1369.41
2010-03-02,18720.8,1369.44
2010-03-03,18720.8,1369.44
2010-03-04,18720.8,1369.44
2010-03-05,18720.8,1369.44
2010-03-06,18732.0,1369.45
2010-03-07,18743.2,1369.46
2010-03-08,18798.8,1369.51
2010-03-09,18885.2,1369.59
2010-03-10,18885.2,1369.59
2010-03-11,18906.599999999977,1369.61
2010-03-12,18917.199999999953,1369.62
2010-03-13,18906.599999999977,1369.61
2010-03-14,18896.0,1369.6
2010-03-15,18896.0,1369.6
2010-03-16,18927.80000000017,1369.63
2010-03-17,18938.400000000143,1369.64
2010-03-18,18927.80000000017,1369.63
2010-03-19,18938.400000000143,1369.64
2010-03-20,19107.0,1369.8
2010-03-21,19202.400000000023,1369.89
2010-03-22,19223.9,1369.91
2010-03-23,19234.8,1369.92
2010-03-24,19256.6,1369.94
2010-03-25,19278.4,1369.96
2010-03-26,19267.5,1369.95
2010-03-27,19278.4,1369.96
2010-03-28,19267.5,1369.95
2010-03-29,19256.6,1369.94
2010-03-30,19267.5,1369.95
2010-03-31,19256.6,1369.94
2010-04-01,19256.6,1369.94
2010-04-02,19256.6,1369.94
2010-04-03,19223.9,1369.91
2010-04-04,19223.9,1369.91
2010-04-05,19223.9,1369.91
2010-04-06,19223.9,1369.91
2010-04-07,19213.0,1369.9
2010-04-08,19170.599999999857,1369.86
2010-04-09,19149.399999999903,1369.84
2010-04-10,19128.199999999953,1369.82
2010-04-11,19128.199999999953,1369.82
2010-04-12,19117.599999999977,1369.81
2010-04-13,19107.0,1369.8
2010-04-14,19096.5,1369.79
2010-04-15,19086.0,1369.78
2010-04-16,19138.799999999927,1369.83
2010-04-17,19448.799999999974,1370.11
2010-04-18,19690.49999999997,1370.31
2010-04-19,19727.999999999887,1370.34
2010-04-20,19765.4999999998,1370.37
2010-04-21,19778.00000000006,1370.38
2010-04-22,19778.00000000006,1370.38
2010-04-23,19866.5,1370.45
2010-04-24,19879.2,1370.46
2010-04-25,19866.5,1370.45
2010-04-26,19853.8,1370.44
2010-04-27,19841.1,1370.43
2010-04-28,19815.7,1370.41
2010-04-29,19790.50000000003,1370.39
2010-04-30,19778.00000000006,1370.38
2010-05-01,19752.99999999983,1370.36
2010-05-02,19740.499999999858,1370.35
2010-05-03,19715.499999999916,1370.33
2010-05-04,19702.99999999994,1370.32
2010-05-05,19690.49999999997,1370.31
2010-05-06,19665.7,1370.29
2010-05-07,19653.4,1370.28
2010-05-08,19604.2,1370.24
2010-05-09,19579.6,1370.22
2010-05-10,19579.6,1370.22
2010-05-11,19567.3,1370.21
2010-05-12,19555.0,1370.2
2010-05-13,19555.0,1370.2
2010-05-14,19555.0,1370.2
2010-05-15,19579.6,1370.22
2010-05-16,19591.9,1370.23
2010-05-17,19555.0,1370.2
2010-05-18,19507.80000000011,1370.16
2010-05-19,19448.799999999974,1370.11
2010-05-20,19484.20000000016,1370.14
2010-05-21,19484.20000000016,1370.14
2010-05-22,19472.400000000187,1370.13
2010-05-23,19448.799999999974,1370.11
2010-05-24,19425.5,1370.09
2010-05-25,19460.599999999948,1370.12
2010-05-26,19579.6,1370.22
2010-05-27,19567.3,1370.21
2010-05-28,19555.0,1370.2
2010-05-29,19531.400000000052,1370.18
2010-05-30,19507.80000000011,1370.16
2010-05-31,19484.20000000016,1370.14
2010-06-01,19460.599999999948,1370.12
2010-06-02,19437.0,1370.1
2010-06-03,19555.0,1370.2
2010-06-04,19616.5,1370.25
2010-06-05,19604.2,1370.24
2010-06-06,19591.9,1370.23
2010-06-07,19567.3,1370.21
2010-06-08,19543.200000000026,1370.19
2010-06-09,19519.600000000082,1370.17
2010-06-10,19507.80000000011,1370.16
2010-06-11,19484.20000000016,1370.14
2010-06-12,19460.599999999948,1370.12
2010-06-13,19425.5,1370.09
2010-06-14,19379.5,1370.05
2010-06-15,19567.3,1370.21
2010-06-16,19616.5,1370.25
2010-06-17,19579.6,1370.22
2010-06-18,19543.200000000026,1370.19
2010-06-19,19507.80000000011,1370.16
2010-06-20,19484.20000000016,1370.14
2010-06-21,19484.20000000016,1370.14
2010-06-22,19460.599999999948,1370.12
2010-06-23,19425.5,1370.09
2010-06-24,19402.5,1370.07
2010-06-25,19391.0,1370.06
2010-06-26,19356.5,1370.03
2010-06-27,19311.1,1369.99
2010-06-28,19311.1,1369.99
2010-06-29,19289.3,1369.97
2010-06-30,19289.3,1369.97
2010-07-01,19322.0,1370.0
2010-07-02,19289.3,1369.97
2010-07-03,19245.7,1369.93
2010-07-04,19223.9,1369.91
2010-07-05,19202.400000000023,1369.89
2010-07-06,19256.6,1369.94
2010-07-07,19181.19999999983,1369.87
2010-07-08,19256.6,1369.94
2010-07-09,19234.8,1369.92
2010-07-10,19223.9,1369.91
2010-07-11,19191.800000000047,1369.88
2010-07-12,19181.19999999983,1369.87
2010-07-13,19138.799999999927,1369.83
2010-07-14,19107.0,1369.8
2010-07-15,19096.5,1369.79
2010-07-16,19075.5,1369.77
2010-07-17,19044.0,1369.74
2010-07-18,19002.0,1369.7
2010-07-19,18980.800000000047,1369.68
2010-07-20,18938.400000000143,1369.64
2010-07-21,18896.0,1369.6
2010-07-22,18852.8,1369.56
2010-07-23,18809.6,1369.52
2010-07-24,18776.8,1369.49
2010-07-25,18754.4,1369.47
2010-07-26,18720.8,1369.44
2010-07-27,18720.8,1369.44
2010-07-28,18820.4,1369.53
