08061550 Elevation,08061550 Capacity
388.3,0.0
388.4,0.0
388.5,0.0
388.6,0.0
388.7,0.01
388.8,0.01
388.9,0.01
389.0,0.02
389.1,0.03
389.2,0.05
389.3,0.07
389.4,0.09
389.5,0.12
389.6,0.16
389.7,0.21
389.8,0.27
389.9,0.35
390.0,0.44
390.1,0.54
390.2,0.68
390.3,0.85
390.4,1.07
390.5,1.37
390.6,1.81
390.7,2.44
390.8,3.3
390.9,4.44
391.0,6.03
391.1,8.25
391.2,11.43
391.3,16.18
391.4,22.67
391.5,30.95
391.6,41.29
391.7,53.99
391.8,69.47
391.9,87.47
392.0,107.61
392.1,129.91
392.2,154.67
392.3,181.97
392.4,212.03
392.5,245.48
392.6,282.88
392.7,324.58
392.8,370.94
392.9,421.88
393.0,476.99
393.1,535.77
393.2,597.75
393.3,663.01
393.4,731.73
393.5,804.54
393.6,882.43
393.7,966.14
393.8,1055.65
393.9,1150.16
394.0,1248.73
394.1,1350.84
394.2,1456.34
394.3,1565.37
394.4,1678.45
394.5,1795.92
394.6,1917.97
394.7,2044.87
394.8,2176.49
394.9,2312.49
395.0,2452.33
395.1,2595.71
395.2,2742.71
395.3,2893.55
395.4,3048.33
395.5,3206.9
395.6,3369.41
395.7,3535.74
395.8,3705.54
395.9,3878.68
396.0,4054.87
396.1,4233.96
396.2,4415.87
396.3,4600.58
396.4,4788.3
396.5,4978.91
396.6,5172.32
396.7,5368.23
396.8,5566.5
396.9,5767.31
397.0,5970.67
397.1,6176.75
397.2,6385.75
397.3,6597.79
397.4,6813.05
397.5,7031.41
397.6,7252.92
397.7,7477.61
397.8,7705.58
397.9,7936.91
398.0,8171.32
398.1,8408.8
398.2,8649.43
398.3,8893.19
398.4,9140.38
398.5,9391.23
398.6,9645.79
398.7,9903.91
398.8,10165.27
398.9,10429.98
399.0,10697.97
399.1,10969.21
399.2,11243.82
399.3,11521.95
399.4,11803.93
399.5,12089.92
399.6,12380.03
399.7,12674.53
399.8,12973.71
399.9,13278.24
400.0,13588.92
400.1,13906.73
400.2,14232.65
400.3,14566.96
400.4,14909.56
400.5,15260.01
400.6,15618.39
400.7,15984.75
400.8,16359.0
400.9,16741.65
401.0,17132.43
401.1,17531.97
401.2,17940.59
401.3,18357.66
401.4,18783.02
401.5,19216.34
401.6,19657.25
401.7,20105.38
401.8,20560.36
401.9,21022.42
402.0,21491.46
402.1,21967.21
402.2,22449.29
402.3,22937.32
402.4,23431.35
402.5,23930.97
402.6,24435.92
402.7,24946.0
402.8,25461.22
402.9,25982.02
403.0,26508.6
403.1,27041.48
403.2,27580.76
403.3,28126.02
403.4,28677.23
403.5,29234.15
403.6,29796.59
403.7,30364.85
403.8,30939.19
403.9,31520.54
404.0,32108.95
404.1,32704.09
404.2,33305.76
404.3,33913.57
404.4,34527.83
404.5,35148.17
404.6,35774.84
404.7,36407.63
404.8,37045.79
404.9,37689.31
405.0,38337.75
405.1,38991.12
405.2,39649.48
405.3,40312.37
405.4,40979.98
405.5,41652.18
405.6,42329.08
405.7,43011.07
405.8,43698.29
405.9,44391.03
406.0,45088.89
406.1,45791.76
406.2,46499.14
406.3,47210.68
406.4,47926.66
406.5,48646.76
406.6,49370.87
406.7,50098.99
406.8,50831.0
406.9,51567.63
407.0,52308.8
407.1,53054.55
407.2,53804.88
407.3,54559.71
407.4,55319.64
407.5,56084.43
407.6,56854.18
407.7,57629.0
407.8,58408.78
407.9,59193.89
408.0,59983.81
408.1,60778.33
408.2,61577.3
408.3,62380.2
408.4,63187.43
408.5,63998.71
408.6,64813.99
408.7,65632.96
408.8,66454.95
408.9,67280.26
409.0,68108.58
409.1,68939.84
409.2,69773.92
409.3,70610.51
409.4,71450.25
409.5,72292.93
409.6,73138.65
409.7,73987.58
409.8,74839.58
409.9,75695.15
410.0,76554.05
410.1,77416.39
410.2,78282.33
410.3,79151.93
410.4,80025.98
410.5,80904.47
410.6,81787.8
410.7,82676.28
410.8,83569.89
410.9,84469.44
411.0,85374.65
411.1,86285.43
411.2,87201.73
411.3,88123.23
411.4,89050.54
411.5,89983.47
411.6,90922.23
411.7,91866.91
411.8,92817.09
411.9,93773.18
412.0,94734.81
412.1,95701.8
412.2,96674.1
412.3,97651.32
412.4,98634.13
412.5,99622.24
412.6,100615.48
412.7,101613.82
412.8,102616.73
412.9,103624.49
413.0,104636.53
413.1,105652.83
413.2,106673.45
413.3,107698.01
413.4,108727.18
413.5,109760.61
413.6,110798.05
413.7,111839.23
413.8,112883.56
413.9,113931.65
414.0,114983.08
414.1,116037.72
414.2,117095.49
414.3,118156.11
414.4,119220.41
414.5,120288.42
414.6,121360.4
414.7,122436.5
414.8,123516.73
414.9,124601.99
415.0,125692.27
415.1,126787.67
415.2,127888.3
415.3,128994.26
415.4,130106.63
415.5,131225.21
415.6,132349.54
415.7,133479.22
415.8,134613.77
415.9,135753.77
416.0,136898.64
416.1,138048.4
416.2,139203.26
416.3,140362.61
416.4,141526.93
416.5,142695.76
416.6,143869.01
416.7,145046.52
416.8,146227.88
416.9,147413.91
417.0,148604.5
417.1,149799.96
417.2,151000.64
417.3,152206.39
417.4,153417.79
417.5,154634.12
417.6,155855.13
417.7,157080.99
417.8,158311.47
417.9,159547.31
418.0,160788.05
418.1,162033.43
418.2,163283.29
418.3,164537.35
418.4,165796.57
418.5,167060.55
418.6,168329.05
418.7,169602.03
418.8,170879.04
418.9,172160.71
419.0,173446.51
419.1,174736.36
419.2,176030.11
419.3,177327.31
419.4,178628.95
419.5,179934.81
419.6,181245.12
