08082800 Elevation,08082800 Capacity
1291.9,0.0
1292.0,0.0
1292.1,1.0
1292.2,1.0
1292.3,2.0
1292.4,2.0
1292.5,3.0
1292.6,4.0
1292.7,4.0
1292.8,5.0
1292.9,6.0
1293.0,7.0
1293.1,8.0
1293.2,10.0
1293.3,11.0
1293.4,12.0
1293.5,14.0
1293.6,16.0
1293.7,17.0
1293.8,19.0
1293.9,21.0
1294.0,23.0
1294.1,26.0
1294.2,28.0
1294.3,31.0
1294.4,33.0
1294.5,36.0
1294.6,39.0
1294.7,42.0
1294.8,45.0
1294.9,48.0
1295.0,51.0
1295.1,55.0
1295.2,58.0
1295.3,62.0
1295.4,65.0
1295.5,69.0
1295.6,72.0
1295.7,76.0
1295.8,80.0
1295.9,84.0
1296.0,88.0
1296.1,92.0
1296.2,96.0
1296.3,100.0
1296.4,105.0
1296.5,109.0
1296.6,114.0
1296.7,118.0
1296.8,123.0
1296.9,128.0
1297.0,133.0
1297.1,138.0
1297.2,143.0
1297.3,148.0
1297.4,153.0
1297.5,159.0
1297.6,165.0
1297.7,171.0
1297.8,177.0
1297.9,183.0
1298.0,189.0
1298.1,196.0
1298.2,203.0
1298.3,210.0
1298.4,217.0
1298.5,225.0
1298.6,233.0
1298.7,241.0
1298.8,249.0
1298.9,258.0
1299.0,266.0
1299.1,276.0
1299.2,285.0
1299.3,295.0
1299.4,305.0
1299.5,315.0
1299.6,326.0
1299.7,337.0
1299.8,348.0
1299.9,360.0
1300.0,372.0
1300.1,385.0
1300.2,398.0
1300.3,411.0
1300.4,425.0
1300.5,439.0
1300.6,453.0
1300.7,468.0
1300.8,482.0
1300.9,497.0
1301.0,513.0
1301.1,528.0
1301.2,544.0
1301.3,560.0
1301.4,576.0
1301.5,592.0
1301.6,608.0
1301.7,625.0
1301.8,642.0
1301.9,659.0
1302.0,676.0
1302.1,693.0
1302.2,710.0
1302.3,728.0
1302.4,746.0
1302.5,764.0
1302.6,782.0
1302.7,800.0
1302.8,818.0
1302.9,837.0
1303.0,856.0
1303.1,875.0
1303.2,894.0
1303.3,913.0
1303.4,933.0
1303.5,953.0
1303.6,973.0
1303.7,993.0
1303.8,1014.0
1303.9,1035.0
1304.0,1056.0
1304.1,1077.0
1304.2,1099.0
1304.3,1121.0
1304.4,1143.0
1304.5,1166.0
1304.6,1188.0
1304.7,1212.0
1304.8,1235.0
1304.9,1259.0
1305.0,1283.0
1305.1,1307.0
1305.2,1332.0
1305.3,1357.0
1305.4,1382.0
1305.5,1407.0
1305.6,1433.0
1305.7,1459.0
1305.8,1485.0
1305.9,1511.0
1306.0,1538.0
1306.1,1565.0
1306.2,1592.0
1306.3,1619.0
1306.4,1647.0
1306.5,1675.0
1306.6,1703.0
1306.7,1731.0
1306.8,1760.0
1306.9,1789.0
1307.0,1818.0
1307.1,1847.0
1307.2,1877.0
1307.3,1907.0
1307.4,1937.0
1307.5,1967.0
1307.6,1998.0
1307.7,2029.0
1307.8,2060.0
1307.9,2092.0
1308.0,2124.0
1308.1,2156.0
1308.2,2189.0
1308.3,2222.0
1308.4,2256.0
1308.5,2289.0
1308.6,2324.0
1308.7,2358.0
1308.8,2393.0
1308.9,2429.0
1309.0,2464.0
1309.1,2500.0
1309.2,2537.0
1309.3,2573.0
1309.4,2610.0
1309.5,2648.0
1309.6,2685.0
1309.7,2723.0
1309.8,2762.0
1309.9,2801.0
1310.0,2840.0
1310.1,2879.0
1310.2,2919.0
1310.3,2960.0
1310.4,3000.0
1310.5,3042.0
1310.6,3083.0
1310.7,3125.0
1310.8,3167.0
1310.9,3210.0
1311.0,3253.0
1311.1,3297.0
1311.2,3341.0
1311.3,3385.0
1311.4,3430.0
1311.5,3476.0
1311.6,3522.0
1311.7,3568.0
1311.8,3615.0
1311.9,3662.0
1312.0,3710.0
1312.1,3758.0
1312.2,3807.0
1312.3,3856.0
1312.4,3906.0
1312.5,3957.0
1312.6,4008.0
1312.7,4059.0
1312.8,4111.0
1312.9,4163.0
1313.0,4216.0
1313.1,4270.0
1313.2,4324.0
1313.3,4378.0
1313.4,4433.0
1313.5,4488.0
1313.6,4544.0
1313.7,4600.0
1313.8,4656.0
1313.9,4712.0
1314.0,4769.0
1314.1,4827.0
1314.2,4884.0
1314.3,4942.0
1314.4,5000.0
1314.5,5059.0
1314.6,5118.0
1314.7,5177.0
1314.8,5237.0
1314.9,5297.0
1315.0,5357.0
1315.1,5418.0
1315.2,5479.0
1315.3,5540.0
1315.4,5602.0
1315.5,5664.0
1315.6,5726.0
1315.7,5789.0
1315.8,5851.0
1315.9,5915.0
1316.0,5978.0
1316.1,6042.0
1316.2,6106.0
1316.3,6171.0
1316.4,6236.0
1316.5,6301.0
1316.6,6367.0
1316.7,6433.0
1316.8,6500.0
1316.9,6567.0
1317.0,6634.0
1317.1,6702.0
1317.2,6770.0
1317.3,6839.0
1317.4,6907.0
1317.5,6977.0
1317.6,7047.0
1317.7,7117.0
1317.8,7188.0
1317.9,7259.0
1318.0,7330.0
1318.1,7402.0
1318.2,7474.0
1318.3,7547.0
1318.4,7620.0
1318.5,7694.0
1318.6,7767.0
1318.7,7842.0
1318.8,7916.0
1318.9,7991.0
1319.0,8067.0
1319.1,8143.0
1319.2,8219.0
1319.3,8295.0
1319.4,8373.0
1319.5,8450.0
1319.6,8528.0
1319.7,8606.0
1319.8,8685.0
1319.9,8764.0
1320.0,8843.0
1320.1,8923.0
1320.2,9004.0
1320.3,9084.0
1320.4,9166.0
1320.5,9247.0
1320.6,9329.0
1320.7,9412.0
1320.8,9495.0
1320.9,9579.0
1321.0,9663.0
1321.1,9747.0
1321.2,9832.0
1321.3,9918.0
1321.4,10004.0
1321.5,10091.0
1321.6,10178.0
1321.7,10265.0
1321.8,10353.0
1321.9,10442.0
1322.0,10531.0
1322.1,10621.0
1322.2,10711.0
1322.3,10801.0
1322.4,10893.0
1322.5,10984.0
1322.6,11076.0
1322.7,11169.0
1322.8,11263.0
1322.9,11357.0
1323.0,11451.0
1323.1,11547.0
1323.2,11643.0
1323.3,11739.0
1323.4,11837.0
1323.5,11935.0
1323.6,12034.0
1323.7,12133.0
1323.8,12233.0
1323.9,12334.0
1324.0,12435.0
1324.1,12537.0
1324.2,12640.0
1324.3,12744.0
1324.4,12848.0
1324.5,12954.0
1324.6,13060.0
1324.7,13167.0
1324.8,13275.0
1324.9,13384.0
1325.0,13493.0
1325.1,13604.0
1325.2,13715.0
1325.3,13827.0
1325.4,13940.0
1325.5,14054.0
1325.6,14168.0
1325.7,14284.0
1325.8,14401.0
1325.9,14519.0
1326.0,14638.0
1326.1,14758.0
1326.2,14879.0
1326.3,15002.0
1326.4,15125.0
1326.5,15250.0
1326.6,15377.0
1326.7,15506.0
1326.8,15636.0
1326.9,15767.0
1327.0,15899.0
1327.1,16032.0
1327.2,16166.0
1327.3,16301.0
1327.4,16437.0
1327.5,16574.0
1327.6,16711.0
1327.7,16850.0
1327.8,16989.0
1327.9,17130.0
1328.0,17271.0
1328.1,17413.0
1328.2,17556.0
1328.3,17700.0
1328.4,17845.0
1328.5,17991.0
1328.6,18138.0
1328.7,18286.0
1328.8,18435.0
1328.9,18584.0
1329.0,18735.0
1329.1,18887.0
1329.2,19039.0
1329.3,19193.0
1329.4,19348.0
1329.5,19503.0
1329.6,19659.0
1329.7,19817.0
1329.8,19975.0
1329.9,20135.0
1330.0,20295.0
1330.1,20457.0
1330.2,20619.0
1330.3,20784.0
1330.4,20949.0
1330.5,21116.0
1330.6,21284.0
1330.7,21455.0
1330.8,21627.0
1330.9,21802.0
1331.0,21980.0
1331.1,22160.0
1331.2,22343.0
1331.3,22528.0
1331.4,22714.0
1331.5,22903.0
1331.6,23092.0
1331.7,23285.0
1331.8,23478.0
1331.9,23671.0
1332.0,23868.0
1332.1,24066.0
1332.2,24263.0
1332.3,24463.0
1332.4,24665.0
1332.5,24867.0
1332.6,25071.0
1332.7,25275.0
1332.8,25482.0
1332.9,25689.0
1333.0,25898.0
1333.1,26109.0
1333.2,26320.0
1333.3,26531.0
1333.4,26745.0
1333.5,26961.0
1333.6,27176.0
1333.7,27394.0
1333.8,27612.0
1333.9,27831.0
1334.0,28051.0
1334.1,28274.0
1334.2,28496.0
1334.3,28721.0
1334.4,28946.0
1334.5,29171.0
