08045000 Elevation,08045000 Capacity
599.1,0.0
599.2,0.0
599.3,0.0
599.4,0.0
599.5,0.0
599.6,0.0
599.7,0.0
599.8,0.0
599.9,0.0
600.0,0.01
600.1,0.02
600.2,0.03
600.3,0.04
600.4,0.07
600.5,0.1
600.6,0.15
600.7,0.21
600.8,0.29
600.9,0.39
601.0,0.55
601.1,0.76
601.2,1.03
601.3,1.35
601.4,1.73
601.5,2.17
601.6,2.69
601.7,3.28
601.8,3.97
601.9,4.77
602.0,5.64
602.1,6.59
602.2,7.61
602.3,8.68
602.4,9.81
602.5,11.0
602.6,12.25
602.7,13.56
602.8,14.95
602.9,16.41
603.0,17.94
603.1,19.54
603.2,21.2
603.3,22.92
603.4,24.7
603.5,26.55
603.6,28.46
603.7,30.44
603.8,32.48
603.9,34.59
604.0,36.77
604.1,39.01
604.2,41.32
604.3,43.71
604.4,46.19
604.5,48.77
604.6,51.43
604.7,54.2
604.8,57.06
604.9,60.04
605.0,63.13
605.1,66.32
605.2,69.63
605.3,73.05
605.4,76.58
605.5,80.24
605.6,84.04
605.7,88.01
605.8,92.22
605.9,96.93
606.0,102.31
606.1,108.39
606.2,115.16
606.3,122.56
606.4,130.84
606.5,140.02
606.6,150.21
606.7,161.57
606.8,174.55
606.9,189.66
607.0,207.0
607.1,226.9
607.2,249.29
607.3,274.04
607.4,300.95
607.5,330.09
607.6,361.19
607.7,394.26
607.8,428.88
607.9,464.82
608.0,502.09
608.1,540.95
608.2,581.13
608.3,622.27
608.4,664.5
608.5,707.97
608.6,752.82
608.7,798.99
608.8,846.33
608.9,894.82
609.0,944.25
609.1,994.59
609.2,1045.96
609.3,1098.55
609.4,1152.44
609.5,1207.55
609.6,1263.93
609.7,1321.64
609.8,1380.6
609.9,1440.84
610.0,1502.29
610.1,1565.01
610.2,1629.06
610.3,1694.51
610.4,1761.52
610.5,1830.12
610.6,1900.3
610.7,1972.17
610.8,2045.64
610.9,2120.96
611.0,2198.09
611.1,2277.12
611.2,2358.12
611.3,2441.13
611.4,2526.33
611.5,2613.71
611.6,2703.66
611.7,2796.48
611.8,2892.04
611.9,2990.58
612.0,3091.86
612.1,3195.52
612.2,3301.47
612.3,3409.38
612.4,3519.64
612.5,3632.3
612.6,3747.84
612.7,3866.53
612.8,3988.31
612.9,4113.39
613.0,4241.69
613.1,4373.44
613.2,4508.73
613.3,4647.64
613.4,4790.13
613.5,4935.37
613.6,5083.33
613.7,5233.99
613.8,5387.05
613.9,5542.66
614.0,5700.79
614.1,5861.28
614.2,6024.16
614.3,6188.9
614.4,6355.75
614.5,6524.73
614.6,6695.97
614.7,6869.93
614.8,7046.82
614.9,7226.69
615.0,7409.34
615.1,7594.89
615.2,7783.63
615.3,7975.13
615.4,8169.71
615.5,8366.76
615.6,8566.32
615.7,8768.54
615.8,8973.15
615.9,9180.47
616.0,9390.36
616.1,9602.81
616.2,9817.67
616.3,10034.44
616.4,10253.21
616.5,10473.74
616.6,10696.18
616.7,10920.56
616.8,11146.51
616.9,11374.35
617.0,11603.6
617.1,11834.37
617.2,12066.91
617.3,12301.08
617.4,12537.02
617.5,12774.63
617.6,13013.98
617.7,13255.07
617.8,13497.45
617.9,13741.34
618.0,13986.48
618.1,14233.14
618.2,14481.5
618.3,14731.12
618.4,14982.4
618.5,15234.97
618.6,15488.87
618.7,15744.23
618.8,16000.71
618.9,16258.61
619.0,16517.59
619.1,16777.83
619.2,17039.56
619.3,17302.52
619.4,17567.09
619.5,17833.06
619.6,18100.64
619.7,18369.94
619.8,18640.57
619.9,18912.77
620.0,19186.21
620.1,19460.98
620.2,19737.29
620.3,20014.82
620.4,20293.95
620.5,20574.4
620.6,20856.39
620.7,21140.17
620.8,21425.5
620.9,21712.77
621.0,22001.91
621.1,22293.49
621.2,22587.78
621.3,22883.95
621.4,23182.06
621.5,23481.6
621.6,23782.65
621.7,24085.35
621.8,24389.33
621.9,24694.93
622.0,25001.73
622.1,25309.89
622.2,25619.61
622.3,25930.56
622.4,26243.34
622.5,26557.63
622.6,26873.46
622.7,27191.0
622.8,27509.87
622.9,27830.45
623.0,28152.36
623.1,28475.66
623.2,28800.44
623.3,29126.21
623.4,29453.33
623.5,29781.39
623.6,30110.57
623.7,30441.13
623.8,30772.77
623.9,31106.0
624.0,31440.39
624.1,31776.17
624.2,32113.6
624.3,32452.26
624.4,32792.54
624.5,33133.94
624.6,33476.65
624.7,33820.84
624.8,34166.11
624.9,34512.93
625.0,34860.92
625.1,35210.35
625.2,35561.73
625.3,35914.68
625.4,36269.52
625.5,36625.83
625.6,36983.83
625.7,37343.74
625.8,37705.08
625.9,38068.37
626.0,38433.16
626.1,38799.75
626.2,39168.35
626.3,39538.49
626.4,39910.59
626.5,40284.19
626.6,40659.57
626.7,41037.01
626.8,41416.09
626.9,41797.3
627.0,42180.27
627.1,42565.06
627.2,42951.77
627.3,43339.83
627.4,43729.77
627.5,44121.09
627.6,44514.2
627.7,44909.56
627.8,45306.83
627.9,45706.62
628.0,46108.34
628.1,46512.14
628.2,46918.34
628.3,47326.47
628.4,47737.01
628.5,48149.69
628.6,48564.8
628.7,48982.42
628.8,49401.78
628.9,49823.44
629.0,50247.22
629.1,50673.71
629.2,51103.35
629.3,51535.42
629.4,51969.99
629.5,52406.2
629.6,52844.14
629.7,53284.11
629.8,53725.59
629.9,54169.04
630.0,54613.89
630.1,55060.37
630.2,55508.65
630.3,55958.13
630.4,56409.31
630.5,56861.66
630.6,57315.5
630.7,57771.14
630.8,58228.03
630.9,58686.71
631.0,59146.59
631.1,59608.0
631.2,60071.28
631.3,60535.94
631.4,61002.5
631.5,61470.31
631.6,61939.69
631.7,62411.08
631.8,62883.97
631.9,63358.94
632.0,63835.42
632.1,64313.83
632.2,64794.53
632.3,65276.93
632.4,65761.59
632.5,66248.0
632.6,66736.79
632.7,67228.27
632.8,67721.44
632.9,68216.81
633.0,68713.75
633.1,69212.61
633.2,69713.68
633.3,70216.4
633.4,70721.51
633.5,71228.31
633.6,71737.16
633.7,72248.57
633.8,72762.1
633.9,73278.57
634.0,73797.53
634.1,74319.45
634.2,74845.24
634.3,75374.31
634.4,75907.08
634.5,76442.78
634.6,76981.86
634.7,77525.06
634.8,78071.9
634.9,78622.71
635.0,79176.46
635.1,79732.95
635.2,80292.27
635.3,80853.27
635.4,81416.39
635.5,81980.83
635.6,82546.83
635.7,83114.69
635.8,83683.73
635.9,84254.7
636.0,84826.89
636.1,85400.65
636.2,85976.31
636.3,86553.16
636.4,87131.96
636.5,87712.12
636.6,88294.1
636.7,88878.29
636.8,89464.03
636.9,90052.06
637.0,90641.61
637.1,91232.96
637.2,91826.51
637.3,92421.62
637.4,93019.1
637.5,93618.41
637.6,94219.92
637.7,94823.93
637.8,95429.64
637.9,96037.89
638.0,96648.03
638.1,97260.47
638.2,97875.61
638.3,98492.66
638.4,99112.28
638.5,99733.64
638.6,100357.15
638.7,100983.26
638.8,101611.21
638.9,102241.71
639.0,102874.02
639.1,103508.69
639.2,104146.22
639.3,104786.14
639.4,105429.33
639.5,106074.76
639.6,106722.71
639.7,107373.78
639.8,108027.72
639.9,108685.81
640.0,109347.54
640.1,110012.83
640.2,110681.17
640.3,111351.47
640.4,112024.51
640.5,112699.51
640.6,113376.89
640.7,114057.3
640.8,114740.19
640.9,115426.38
641.0,116114.91
641.1,116806.03
641.2,117500.11
641.3,118196.36
641.4,118895.77
641.5,119597.69
641.6,120302.75
641.7,121011.62
641.8,121723.64
641.9,122439.43
642.0,123157.86
642.1,123879.13
642.2,124603.58
642.3,125330.32
642.4,126060.18
642.5,126792.13
642.6,127526.59
642.7,128264.15
642.8,129003.88
642.9,129746.45
643.0,130491.03
643.1,131238.02
643.2,131988.11
643.3,132740.6
643.4,133496.65
643.5,134255.31
643.6,135016.9
643.7,135781.92
643.8,136549.55
643.9,137331.81
644.0,138116.21
644.1,138901.91
644.2,139689.37
644.3,140477.63
644.4,141267.64
644.5,142058.44
644.6,142850.5
644.7,143644.32
644.8,144438.89
644.9,145235.23
645.0,146032.32
645.1,146830.68
645.2,147630.78
645.3,148431.63
645.4,149234.24
645.5,150037.58
645.6,150842.18
645.7,151648.52
645.8,152455.62
645.9,153264.47
646.0,154074.08
646.1,154884.96
646.2,155697.6
646.3,156511.01
646.4,157326.19
646.5,158142.15
646.6,158959.39
646.7,159778.43
646.8,160598.25
646.9,161419.87
647.0,162242.29
647.1,163066.02
647.2,163891.58
647.3,164717.95
647.4,165546.17
647.5,166375.25
647.6,167205.69
647.7,168038.06
647.8,168871.39
647.9,169706.75
648.0,170543.18
648.1,171381.28
648.2,172221.65
648.3,173063.36
648.4,173907.56
648.5,174753.3
648.6,175601.18
648.7,176451.84
648.8,177304.4
648.9,178160.12
649.0,179018.36
649.1,179880.36
649.2,180742.44
649.3,181607.89
649.4,182475.79
649.5,183346.13
649.6,184218.92
649.7,185094.15
649.8,185971.83
649.9,186851.95
650.0,187734.51
650.1,188619.52
650.2,189506.97
650.3,190396.86
650.4,191289.2
650.5,192183.99
650.6,193081.22
650.7,193980.89
650.8,194883.01
650.9,195787.57
651.0,196694.57
651.1,197604.02
651.2,198515.92
651.3,199430.25
651.4,200347.04
651.5,201266.26
651.6,202187.93
651.7,203112.05
651.8,204038.61
651.9,204967.61
652.0,205899.06
652.1,206832.95
652.2,207769.28
652.3,208708.06
652.4,209649.29
652.5,210592.96
652.6,211539.07
652.7,212487.63
652.8,213438.63
652.9,214392.07
653.0,215347.96
653.1,216306.29
653.2,217267.07
653.3,218230.29
653.4,219195.96
653.5,220164.07
653.6,221134.62
653.7,222107.62
653.8,223083.06
653.9,224060.95
654.0,225041.28
654.1,226024.06
654.2,227009.28
654.3,227996.94
654.4,228987.05
654.5,229979.6
654.6,230974.6
654.7,231972.04
654.8,232971.92
654.9,233974.25
655.0,234979.02
655.1,235986.24
655.2,236995.9
655.3,238008.01
655.4,239022.55
655.5,240039.55
655.6,241058.99
655.7,242080.87
655.8,243105.2
655.9,244131.97
656.0,245161.18
656.1,246192.84
656.2,247226.94
656.3,248263.49
656.4,249302.48
656.5,250343.92
656.6,251387.8
656.7,252434.12
656.8,253482.89
656.9,254534.1
657.0,255587.76
