08049200 Elevation,08049200 Capacity
500.1,0.0
500.2,0.0
500.3,0.0
500.4,0.0
500.5,0.0
500.6,0.01
500.7,0.01
500.8,0.02
500.9,0.03
501.0,0.04
501.1,0.06
501.2,0.08
501.3,0.1
501.4,0.13
501.5,0.16
501.6,0.19
501.7,0.23
501.8,0.27
501.9,0.31
502.0,0.35
502.1,0.41
502.2,0.51
502.3,0.69
502.4,0.97
502.5,1.32
502.6,1.73
502.7,2.21
502.8,2.74
502.9,3.33
503.0,3.98
503.1,4.69
503.2,5.45
503.3,6.28
503.4,7.17
503.5,8.13
503.6,9.15
503.7,10.25
503.8,11.42
503.9,12.66
504.0,13.98
504.1,15.37
504.2,16.83
504.3,18.36
504.4,19.97
504.5,21.66
504.6,23.44
504.7,25.3
504.8,27.26
504.9,29.33
505.0,31.52
505.1,33.82
505.2,36.25
505.3,38.8
505.4,41.46
505.5,44.23
505.6,47.13
505.7,50.15
505.8,53.29
505.9,56.56
506.0,59.96
506.1,63.51
506.2,67.25
506.3,71.17
506.4,75.26
506.5,79.52
506.6,83.95
506.7,88.55
506.8,93.3
506.9,98.23
507.0,103.32
507.1,108.59
507.2,114.02
507.3,119.64
507.4,125.44
507.5,131.44
507.6,137.64
507.7,144.04
507.8,150.65
507.9,157.48
508.0,164.52
508.1,171.75
508.2,179.18
508.3,186.79
508.4,194.6
508.5,202.64
508.6,210.92
508.7,219.44
508.8,228.22
508.9,237.25
509.0,246.58
509.1,256.21
509.2,266.17
509.3,276.43
509.4,286.99
509.5,297.8
509.6,308.85
509.7,320.14
509.8,331.65
509.9,343.38
510.0,355.33
510.1,367.48
510.2,379.87
510.3,392.48
510.4,405.34
510.5,418.47
510.6,431.88
510.7,445.55
510.8,459.48
510.9,473.67
511.0,488.13
511.1,502.87
511.2,517.87
511.3,533.12
511.4,548.64
511.5,564.42
511.6,580.49
511.7,596.84
511.8,613.46
511.9,630.37
512.0,647.59
512.1,665.11
512.2,682.94
512.3,701.05
512.4,719.48
512.5,738.22
512.6,757.25
512.7,776.56
512.8,796.14
512.9,816.01
513.0,836.16
513.1,856.59
513.2,877.31
513.3,898.29
513.4,919.56
513.5,941.08
513.6,962.86
513.7,984.92
513.8,1007.23
513.9,1029.81
514.0,1052.65
514.1,1075.76
514.2,1099.14
514.3,1122.78
514.4,1146.72
514.5,1170.96
514.6,1195.52
514.7,1220.4
514.8,1245.57
514.9,1271.06
515.0,1296.84
515.1,1322.97
515.2,1349.51
515.3,1376.38
515.4,1403.61
515.5,1431.16
515.6,1459.04
515.7,1487.27
515.8,1515.79
515.9,1544.63
516.0,1573.75
516.1,1603.15
516.2,1632.87
516.3,1662.85
516.4,1693.13
516.5,1723.67
516.6,1754.48
516.7,1785.57
516.8,1816.92
516.9,1848.56
517.0,1880.47
517.1,1912.66
517.2,1945.15
517.3,1977.9
517.4,2010.99
517.5,2044.35
517.6,2078.01
517.7,2112.01
517.8,2146.33
517.9,2181.03
518.0,2216.06
518.1,2251.47
518.2,2287.28
518.3,2323.44
518.4,2360.01
518.5,2396.93
518.6,2434.24
518.7,2471.96
518.8,2510.05
518.9,2548.57
519.0,2587.45
519.1,2626.76
519.2,2666.56
519.3,2706.82
519.4,2747.61
519.5,2788.89
519.6,2830.69
519.7,2873.02
519.8,2915.84
519.9,2959.2
520.0,3003.06
520.1,3047.5
520.2,3092.54
520.3,3138.17
520.4,3184.45
520.5,3231.38
520.6,3279.04
520.7,3327.54
520.8,3376.83
520.9,3426.94
521.0,3477.75
521.1,3529.22
521.2,3581.39
521.3,3634.13
521.4,3687.47
521.5,3741.38
521.6,3795.86
521.7,3850.89
521.8,3906.41
521.9,3962.49
522.0,4019.08
522.1,4076.18
522.2,4133.8
522.3,4191.9
522.4,4250.56
522.5,4309.7
522.6,4369.37
522.7,4429.61
522.8,4490.36
522.9,4551.68
523.0,4613.49
523.1,4675.79
523.2,4738.62
523.3,4801.92
523.4,4865.77
523.5,4930.13
523.6,4995.05
523.7,5060.6
523.8,5126.65
523.9,5193.25
524.0,5260.3
524.1,5327.79
524.2,5395.72
524.3,5464.01
524.4,5532.72
524.5,5601.76
524.6,5671.17
524.7,5741.01
524.8,5811.2
524.9,5881.86
525.0,5952.97
525.1,6024.6
525.2,6096.77
525.3,6169.37
525.4,6242.49
525.5,6316.02
525.6,6390.03
525.7,6464.53
525.8,6539.44
525.9,6614.86
526.0,6690.7
526.1,6766.98
526.2,6843.74
526.3,6920.87
526.4,6998.47
526.5,7076.43
526.6,7154.79
526.7,7233.63
526.8,7312.84
526.9,7392.53
527.0,7472.6
527.1,7553.1
527.2,7634.08
527.3,7715.44
527.4,7797.28
527.5,7879.49
527.6,7962.12
527.7,8045.24
527.8,8128.73
527.9,8212.65
528.0,8296.91
528.1,8381.6
528.2,8466.75
528.3,8552.25
528.4,8638.2
528.5,8724.49
528.6,8811.16
528.7,8898.28
528.8,8985.74
528.9,9073.66
529.0,9161.93
529.1,9250.61
529.2,9339.77
529.3,9429.3
529.4,9519.3
529.5,9609.67
529.6,9700.47
529.7,9791.76
529.8,9883.42
529.9,9975.55
530.0,10068.08
530.1,10161.15
530.2,10254.77
530.3,10348.81
530.4,10443.38
530.5,10538.37
530.6,10633.82
530.7,10729.79
530.8,10826.18
530.9,10923.13
531.0,11020.52
531.1,11118.43
531.2,11216.92
531.3,11315.84
531.4,11415.31
