08060500 Elevation,08060500 Capacity
448.4,0.0
448.5,0.0
448.6,0.0
448.7,0.0
448.8,0.0
448.9,0.0
449.0,0.0
449.1,0.0
449.2,0.01
449.3,0.05
449.4,0.14
449.5,0.32
449.6,0.61
449.7,1.07
449.8,2.77
449.9,7.65
450.0,15.91
450.1,29.16
450.2,48.45
450.3,74.57
450.4,108.78
450.5,151.69
450.6,202.67
450.7,261.8
450.8,328.85
450.9,403.59
451.0,484.87
451.1,571.6
451.2,663.3
451.3,759.23
451.4,859.22
451.5,963.38
451.6,1071.27
451.7,1182.99
451.8,1298.64
451.9,1418.33
452.0,1542.18
452.1,1670.08
452.2,1801.86
452.3,1937.05
452.4,2075.47
452.5,2217.15
452.6,2362.06
452.7,2509.99
452.8,2660.93
452.9,2814.87
453.0,2971.81
453.1,3131.9
453.2,3294.94
453.3,3460.63
453.4,3629.13
453.5,3800.42
453.6,3974.31
453.7,4150.51
453.8,4328.94
453.9,4509.7
454.0,4692.8
454.1,4878.39
454.2,5066.6
454.3,5257.32
454.4,5450.84
454.5,5647.23
454.6,5846.69
454.7,6049.41
454.8,6255.72
454.9,6467.26
455.0,6685.66
455.1,6910.02
455.2,7139.34
455.3,7372.95
455.4,7610.93
455.5,7853.07
455.6,8099.22
455.7,8349.44
455.8,8603.77
455.9,8862.31
456.0,9124.89
456.1,9391.65
456.2,9662.62
456.3,9937.74
456.4,10217.27
456.5,10501.23
456.6,10789.49
456.7,11081.76
456.8,11377.87
456.9,11678.0
457.0,11982.42
457.1,12291.18
457.2,12603.82
457.3,12919.96
457.4,13239.59
457.5,13562.4
457.6,13888.89
457.7,14219.39
457.8,14553.1
457.9,14889.46
458.0,15228.46
458.1,15570.27
458.2,15915.57
458.3,16264.24
458.4,16616.53
458.5,16972.77
458.6,17333.02
458.7,17697.21
458.8,18065.13
458.9,18436.84
459.0,18812.17
459.1,19191.24
459.2,19574.38
459.3,19962.04
459.4,20354.21
459.5,20750.73
459.6,21151.49
459.7,21555.61
459.8,21963.01
459.9,22374.43
460.0,22789.73
460.1,23208.95
460.2,23632.07
460.3,24058.75
460.4,24489.25
460.5,24923.13
460.6,25360.43
460.7,25801.41
460.8,26246.16
460.9,26695.84
461.0,27150.79
461.1,27610.72
461.2,28075.82
461.3,28546.25
461.4,29022.07
461.5,29502.95
461.6,29988.97
461.7,30480.18
461.8,30976.49
461.9,31478.43
462.0,31985.76
462.1,32498.05
462.2,33015.48
462.3,33538.08
462.4,34066.21
462.5,34599.33
462.6,35137.41
462.7,35680.59
462.8,36229.01
462.9,36783.39
463.0,37343.55
463.1,37909.02
463.2,38480.18
463.3,39058.19
463.4,39643.96
463.5,40236.51
463.6,40835.64
463.7,41440.88
463.8,42051.33
463.9,42666.9
464.0,43287.46
464.1,43913.25
464.2,44544.24
464.3,45180.23
464.4,45821.4
464.5,46467.59
464.6,47119.0
464.7,47775.64
464.8,48437.1
464.9,49103.67
465.0,49775.07
465.1,50451.22
465.2,51131.69
465.3,51815.97
465.4,52504.41
465.5,53197.04
465.6,53894.22
465.7,54595.72
465.8,55301.3
465.9,56012.23
466.0,56728.61
466.1,57450.14
466.2,58176.31
466.3,58906.58
466.4,59640.98
466.5,60379.36
466.6,61121.84
466.7,61868.08
466.8,62617.8
466.9,63371.54
467.0,64128.81
467.1,64889.42
467.2,65653.45
467.3,66420.83
467.4,67192.17
467.5,67967.85
467.6,68748.73
467.7,69534.92
467.8,70325.7
467.9,71121.55
468.0,71921.78
468.1,72726.27
468.2,73534.88
468.3,74347.33
468.4,75164.22
468.5,75985.77
468.6,76812.38
468.7,77643.6
468.8,78478.89
468.9,79318.84
469.0,80163.58
469.1,81013.18
469.2,81867.44
469.3,82726.37
469.4,83590.29
469.5,84458.86
469.6,85332.24
469.7,86210.72
469.8,87094.0
469.9,87983.02
470.0,88877.83
470.1,89778.31
470.2,90684.5
470.3,91596.67
470.4,92514.64
470.5,93437.49
470.6,94365.31
470.7,95299.26
470.8,96239.86
470.9,97186.92
471.0,98139.94
471.1,99098.69
471.2,100063.24
471.3,101033.41
471.4,102009.11
471.5,102989.66
471.6,103975.15
471.7,104965.38
471.8,105959.81
471.9,106958.9
472.0,107962.19
472.1,108969.53
472.2,109980.76
472.3,110995.65
472.4,112014.62
472.5,113037.2
472.6,114063.4
472.7,115093.32
472.8,116127.28
472.9,117166.15
473.0,118209.45
473.1,119257.01
473.2,120308.69
473.3,121363.97
473.4,122423.43
473.5,123486.8
473.6,124553.98
473.7,125625.01
473.8,126699.42
473.9,127777.92
474.0,128860.46
474.1,129946.92
474.2,131037.36
474.3,132131.38
474.4,133229.53
474.5,134331.49
474.6,135437.14
474.7,136546.45
474.8,137659.2
474.9,138776.26
475.0,139897.35
475.1,141022.43
475.2,142151.68
475.3,143284.69
475.4,144422.71
475.5,145566.22
475.6,146715.09
475.7,147869.37
475.8,149028.86
475.9,150194.91
476.0,151366.9
476.1,152545.03
476.2,153730.41
476.3,154922.58
476.4,156121.95
476.5,157327.75
476.6,158539.93
476.7,159758.41
476.8,160982.51
476.9,162212.65
477.0,163448.9
477.1,164691.14
477.2,165939.4
477.3,167194.49
477.4,168456.99
477.5,169726.34
477.6,171003.22
477.7,172287.39
477.8,173577.65
477.9,174874.48
478.0,176176.76
478.1,177484.09
478.2,178796.49
478.3,180113.55
478.4,181435.8
478.5,182762.7
478.6,184094.1
478.7,185429.91
478.8,186770.0
478.9,188115.43
479.0,189465.61
479.1,190820.35
479.2,192179.67
479.3,193543.36
479.4,194912.26
479.5,196285.88
479.6,197664.3
479.7,199048.25
479.8,200437.07
479.9,201831.11
480.0,203229.68
480.1,204632.91
480.2,206041.17
480.3,207454.15
480.4,208872.87
480.5,210296.92
480.6,211726.22
480.7,213160.69
480.8,214600.15
480.9,216044.89
481.0,217494.64
481.1,218949.4
481.2,220409.37
481.3,221874.24
481.4,223344.67
481.5,224820.21
481.6,226301.04
481.7,227787.11
481.8,229278.09
481.9,230774.93
482.0,232277.19
482.1,233784.51
482.2,235296.68
482.3,236812.88
482.4,238334.33
482.5,239860.88
482.6,241393.0
482.7,242930.44
482.8,244473.11
482.9,246022.58
483.0,247577.53
483.1,249137.91
483.2,250703.67
483.3,252274.25
483.4,253850.68
483.5,255432.73
483.6,257019.93
483.7,258611.72
483.8,260207.69
483.9,261808.83
484.0,263414.53
484.1,265024.67
484.2,266639.3
484.3,268257.86
484.4,269881.12
484.5,271508.43
484.6,273139.52
484.7,274774.25
484.8,276412.06
484.9,278053.87
485.0,279699.14
485.1,281347.9
485.2,283000.27
485.3,284655.8
485.4,286315.64
485.5,287979.38
485.6,289647.1
485.7,291318.93
485.8,292994.44
485.9,294674.81
486.0,296359.56
486.1,298048.86
486.2,299742.81
486.3,301441.01
486.4,303144.6
486.5,304853.19
486.6,306566.93
486.7,308285.9
486.8,310009.72
486.9,311739.55
487.0,313474.99
487.1,315216.14
487.2,316963.12
487.3,318715.56
487.4,320474.58
487.5,322239.78
487.6,324011.25
487.7,325789.17
487.8,327573.09
487.9,329364.19
488.0,331162.07
488.1,332966.81
488.2,334778.56
488.3,336596.86
488.4,338422.97
488.5,340256.42
488.6,342097.36
488.7,343945.92
488.8,345801.67
488.9,347665.91
489.0,349538.22
489.1,351418.75
489.2,353307.67
489.3,355204.61
489.4,357110.93
489.5,359026.22
489.6,360950.74
489.7,362884.68
489.8,364832.23
489.9,366827.03
490.0,368824.54
490.1,370824.72
490.2,372827.63
490.3,374832.64
490.4,376841.0
490.5,378852.14
490.6,380866.06
490.7,382882.74
490.8,384901.64
490.9,386923.97
491.0,388949.15
491.1,390977.19
491.2,393008.1
491.3,395041.24
491.4,397077.96
491.5,399117.59
491.6,401160.13
491.7,403205.69
491.8,405253.55
491.9,407305.03
492.0,409359.52
492.1,411417.01
492.2,413477.57
492.3,415540.52
492.4,417607.18
492.5,419676.95
492.6,421749.77
492.7,423825.75
492.8,425904.21
492.9,427986.49
493.0,430071.91
493.1,432160.13
493.2,434251.57
493.3,436346.13
493.4,438443.8
493.5,440544.59
493.6,442648.49
493.7,444755.51
493.8,446865.65
493.9,448978.9
494.0,451095.26
494.1,453214.74
494.2,455337.34
494.3,457463.05
494.4,459591.88
494.5,461723.82
494.6,463858.88
494.7,465997.06
494.8,468138.35
494.9,470282.75
495.0,472430.27
495.1,474580.91
495.2,476734.66
495.3,478891.53
495.4,481051.51
495.5,483214.61
495.6,485380.83
495.7,487550.15
495.8,489722.6
495.9,491898.16
496.0,494076.84
496.1,496258.63
496.2,498443.53
496.3,500631.56
496.4,502822.69
496.5,505016.95
496.6,507214.32
496.7,509414.8
496.8,511618.4
496.9,513825.12
497.0,516034.95
497.1,518247.89
497.2,520463.96
497.3,522683.13
497.4,524905.43
497.5,527130.83
497.6,529359.36
497.7,531591.0
497.8,533825.75
497.9,536063.62
498.0,538304.61
498.1,540548.71
498.2,542795.93
498.3,545046.26
498.4,547299.71
498.5,549556.27
498.6,551815.95
498.7,554078.74
498.8,556344.65
498.9,558613.68
499.0,560885.82
499.1,563161.08
499.2,565439.45
499.3,567720.93
499.4,570005.54
499.5,572293.26
499.6,574584.09
499.7,576878.04
499.8,579175.1
499.9,581475.28
500.0,583778.58
500.1,586084.99
500.2,588394.52
500.3,590707.16
500.4,593022.92
500.5,595341.79
500.6,597663.78
500.7,599988.88
500.8,602317.1
500.9,604648.44
501.0,606982.89
501.1,609320.46
501.2,611661.14
501.3,614004.93
501.4,616351.85
501.5,618701.88
501.6,621055.02
501.7,623411.28
501.8,625770.65
501.9,628133.14
502.0,630498.75
502.1,632867.47
502.2,635239.31
502.3,637614.26
502.4,639992.33
502.5,642373.51
502.6,644757.81
502.7,647145.22
502.8,649535.75
502.9,651929.4
503.0,654326.16
503.1,656726.03
503.2,659129.03
503.3,661535.13
503.4,663944.36
503.5,666356.69
503.6,668772.15
503.7,671190.72
503.8,673612.4
503.9,676037.2
504.0,678465.12
504.1,680896.15
504.2,683330.29
504.3,685767.56
504.4,688207.93
504.5,690651.43
504.6,693098.04
