08210500 Elevation,08210500 Capacity
73.8,22437.89
73.9,22885.06
74.0,23338.65
74.1,23798.73
74.2,24265.05
74.3,24737.28
74.4,25215.22
74.5,25698.81
74.6,26187.72
74.7,26681.71
74.8,27180.72
74.9,27684.5
75.0,28193.16
75.1,28706.87
75.2,29225.61
75.3,29749.42
75.4,30278.27
75.5,30812.55
75.6,31352.27
75.7,31897.55
75.8,32449.09
75.9,33006.77
76.0,33570.34
76.1,34139.94
76.2,34715.75
76.3,35297.64
76.4,35885.61
76.5,36479.88
76.6,37080.43
76.7,37687.26
76.8,38300.54
76.9,38919.87
77.0,39544.99
77.1,40176.19
77.2,40813.68
77.3,41457.0
77.4,42106.08
77.5,42761.19
77.6,43421.99
77.7,44088.67
77.8,44761.98
77.9,45441.31
78.0,46126.46
78.1,46817.51
78.2,47514.6
78.3,48217.51
78.4,48926.46
78.5,49642.17
78.6,50364.46
78.7,51093.54
78.8,51831.07
78.9,52575.09
79.0,53325.48
79.1,54083.17
79.2,54847.93
79.3,55619.39
79.4,56397.45
79.5,57182.04
79.6,57972.87
79.7,58769.97
79.8,59573.74
79.9,60384.31
80.0,61202.01
80.1,62027.64
80.2,62861.09
80.3,63702.27
80.4,64551.62
80.5,65410.02
80.6,66276.82
80.7,67152.08
80.8,68037.21
80.9,68931.49
81.0,69835.32
81.1,70750.71
81.2,71675.54
81.3,72609.58
81.4,73554.63
81.5,74510.33
81.6,75475.48
81.7,76450.52
81.8,77435.21
81.9,78428.56
82.0,79430.64
82.1,80441.68
82.2,81460.79
82.3,82487.92
82.4,83523.5
82.5,84567.11
82.6,85618.61
82.7,86678.95
82.8,87747.97
82.9,88824.79
83.0,89909.77
83.1,91003.26
83.2,92104.74
83.3,93214.41
83.4,94332.57
83.5,95458.84
83.6,96593.31
83.7,97736.21
83.8,98887.6
83.9,100047.17
84.0,101214.97
84.1,102391.06
84.2,103575.39
84.3,104768.15
84.4,105969.33
84.5,107178.82
84.6,108396.65
84.7,109623.08
84.8,110858.25
84.9,112101.8
85.0,113354.0
85.1,114615.0
85.2,115884.62
85.3,117162.94
85.4,118449.87
85.5,119745.23
85.6,121048.8
85.7,122360.44
85.8,123680.12
85.9,125007.6
86.0,126342.97
86.1,127686.26
86.2,129037.53
86.3,130396.88
86.4,131764.26
86.5,133139.85
86.6,134523.75
86.7,135916.15
86.8,137317.34
86.9,138727.26
87.0,140146.17
87.1,141574.31
87.2,143012.03
87.3,144460.15
87.4,145936.68
87.5,147427.78
87.6,148928.11
87.7,150437.18
87.8,151954.94
87.9,153481.31
88.0,155016.39
88.1,156564.78
88.2,158126.25
88.3,159695.3
88.4,161270.91
88.5,162853.15
88.6,164441.96
88.7,166037.0
88.8,167638.17
88.9,169245.03
89.0,170857.71
89.1,172476.14
89.2,174100.42
89.3,175730.45
89.4,177365.8
89.5,179006.48
89.6,180652.42
89.7,182303.47
89.8,183959.68
89.9,185620.73
90.0,187286.65
90.1,188957.29
90.2,190632.48
90.3,192312.32
90.4,193996.55
90.5,195685.24
90.6,197378.59
90.7,199076.32
90.8,200778.21
90.9,202484.01
91.0,204193.76
91.1,205907.43
91.2,207625.0
91.3,209346.57
91.4,211071.84
91.5,212800.88
91.6,214533.74
91.7,216270.38
91.8,218010.92
91.9,219755.13
92.0,221503.14
92.1,223254.94
92.2,225010.58
92.3,226770.14
92.4,228533.41
92.5,230300.51
92.6,232071.43
92.7,233846.13
92.8,235624.77
92.9,237407.07
93.0,239193.09
93.1,240982.88
93.2,242776.44
93.3,244573.84
93.4,246374.87
93.5,248179.66
93.6,249988.18
93.7,251800.5
93.8,253616.71
93.9,255436.56
94.0,257260.23
94.1,259087.73
94.2,260918.9
94.3,262753.89
94.4,264592.64
94.5,266435.17
94.6,268281.47
94.7,270131.54
94.8,271985.38
