08167700 Elevation,08167700 Capacity
761.9,0.0
762.0,0.0
762.1,0.0
762.2,0.01
762.3,0.01
762.4,0.02
762.5,0.03
762.6,0.04
762.7,0.06
762.8,0.07
762.9,0.09
763.0,0.11
763.1,0.13
763.2,0.15
763.3,0.17
763.4,0.2
763.5,0.23
763.6,0.25
763.7,0.29
763.8,0.32
763.9,0.36
764.0,0.39
764.1,0.43
764.2,0.47
764.3,0.52
764.4,0.56
764.5,0.61
764.6,0.66
764.7,0.71
764.8,0.76
764.9,0.82
765.0,0.88
765.1,0.94
765.2,1.0
765.3,1.06
765.4,1.13
765.5,1.2
765.6,1.27
765.7,1.35
765.8,1.42
765.9,1.5
766.0,1.59
766.1,1.67
766.2,1.76
766.3,1.85
766.4,1.95
766.5,2.04
766.6,2.15
766.7,2.25
766.8,2.36
766.9,2.47
767.0,2.58
767.1,2.7
767.2,2.82
767.3,2.95
767.4,3.08
767.5,3.21
767.6,3.36
767.7,3.5
767.8,3.66
767.9,3.82
768.0,3.99
768.1,4.17
768.2,4.38
768.3,4.6
768.4,4.84
768.5,5.11
768.6,5.39
768.7,5.69
768.8,6.03
768.9,6.41
769.0,6.82
769.1,7.25
769.2,7.72
769.3,8.21
769.4,8.72
769.5,9.24
769.6,9.79
769.7,10.36
769.8,10.94
769.9,11.54
770.0,12.15
770.1,12.78
770.2,13.43
770.3,14.1
770.4,14.78
770.5,15.48
770.6,16.2
770.7,16.94
770.8,17.7
770.9,18.48
771.0,19.28
771.1,20.1
771.2,20.95
771.3,21.81
771.4,22.7
771.5,23.61
771.6,24.54
771.7,25.5
771.8,26.47
771.9,27.47
772.0,28.48
772.1,29.52
772.2,30.57
772.3,31.65
772.4,32.75
772.5,33.87
772.6,35.02
772.7,36.19
772.8,37.39
772.9,38.61
773.0,39.86
773.1,41.14
773.2,42.45
773.3,43.79
773.4,45.16
773.5,46.55
773.6,47.98
773.7,49.43
773.8,50.92
773.9,52.43
774.0,53.97
774.1,55.54
774.2,57.15
774.3,58.78
774.4,60.45
774.5,62.14
774.6,63.87
774.7,65.63
774.8,67.43
774.9,69.25
775.0,71.11
775.1,73.01
775.2,74.95
775.3,76.92
775.4,78.93
775.5,80.97
775.6,83.05
