08164525 Elevation,08164525 Capacity
-18.9,0.0
-18.8,0.0
-18.7,0.0
-18.6,0.0
-18.5,0.0
-18.4,0.0
-18.3,0.0
-18.2,0.0
-18.1,0.0
-18.0,0.01
-17.9,0.01
-17.8,0.01
-17.7,0.01
-17.6,0.01
-17.5,0.02
-17.4,0.02
-17.3,0.02
-17.2,0.03
-17.1,0.03
-17.0,0.04
-16.9,0.04
-16.8,0.05
-16.7,0.06
-16.6,0.06
-16.5,0.07
-16.4,0.08
-16.3,0.09
-16.2,0.1
-16.1,0.11
-16.0,0.12
-15.9,0.13
-15.8,0.14
-15.7,0.16
-15.6,0.17
-15.5,0.19
-15.4,0.21
-15.3,0.23
-15.2,0.25
-15.1,0.27
-15.0,0.3
-14.9,0.34
-14.8,0.37
-14.7,0.42
-14.6,0.46
-14.5,0.52
-14.4,0.57
-14.3,0.64
-14.2,0.71
-14.1,0.79
-14.0,0.87
-13.9,0.96
-13.8,1.05
-13.7,1.15
-13.6,1.26
-13.5,1.36
-13.4,1.48
-13.3,1.6
-13.2,1.72
-13.1,1.85
-13.0,1.98
-12.9,2.11
-12.8,2.25
-12.7,2.4
-12.6,2.54
-12.5,2.69
-12.4,2.85
-12.3,3.01
-12.2,3.17
-12.1,3.34
-12.0,3.51
-11.9,3.69
-11.8,3.87
-11.7,4.05
-11.6,4.24
-11.5,4.44
-11.4,4.63
-11.3,4.84
-11.2,5.04
-11.1,5.26
-11.0,5.47
-10.9,5.69
-10.8,5.92
-10.7,6.15
-10.6,6.38
-10.5,6.62
-10.4,6.86
-10.3,7.11
-10.2,7.36
-10.1,7.62
-10.0,7.88
-9.9,8.14
-9.8,8.41
-9.7,8.68
-9.6,8.96
-9.5,9.24
-9.4,9.52
-9.3,9.81
-9.2,10.1
-9.1,10.4
-9.0,10.7
-8.9,11.0
-8.8,11.31
-8.7,11.63
-8.6,11.95
-8.5,12.27
-8.4,12.6
-8.3,12.94
-8.2,13.28
-8.1,13.62
-8.0,13.97
-7.9,14.32
-7.8,14.68
-7.7,15.05
-7.6,15.42
-7.5,15.79
-7.4,16.17
-7.3,16.56
-7.2,16.95
-7.1,17.34
-7.0,17.74
-6.9,18.14
-6.8,18.55
-6.7,18.97
-6.6,19.39
-6.5,19.81
-6.4,20.24
-6.3,20.68
-6.2,21.12
-6.1,21.57
-6.0,22.02
-5.9,22.47
-5.8,22.93
-5.7,23.4
-5.6,23.88
-5.5,24.36
-5.4,24.85
-5.3,25.35
-5.2,25.85
-5.1,26.37
-5.0,26.89
-4.9,27.43
-4.8,27.97
-4.7,28.53
-4.6,29.1
-4.5,29.68
-4.4,30.27
-4.3,30.88
-4.2,31.51
-4.1,32.15
-4.0,32.81
-3.9,33.49
-3.8,34.19
-3.7,34.92
-3.6,35.67
-3.5,36.45
-3.4,37.26
-3.3,38.1
-3.2,38.98
-3.1,39.88
-3.0,40.81
-2.9,41.78
-2.8,42.79
-2.7,43.84
-2.6,44.93
-2.5,46.06
-2.4,47.24
-2.3,48.46
-2.2,49.73
-2.1,51.03
-2.0,52.39
-1.9,53.79
-1.8,55.24
-1.7,56.73
-1.6,58.28
-1.5,59.88
-1.4,61.55
-1.3,63.27
-1.2,65.05
-1.1,66.89
-1.0,68.8
-0.9,70.77
-0.8,72.82
-0.7,74.94
-0.6,77.14
-0.5,79.42
-0.4,81.78
-0.3,84.22
-0.2,86.73
-0.1,89.33
0.0,92.0
0.1,94.75
0.2,97.57
0.3,100.48
0.4,103.47
0.5,106.53
0.6,109.68
0.7,112.92
0.8,116.24
0.9,119.64
1.0,123.13
1.1,126.71
