08052800 Elevation,08052800 Capacity
453.0,0.0
453.1,0.0
453.2,0.02
453.3,0.09
453.4,0.18
453.5,0.32
453.6,0.49
453.7,0.71
453.8,1.01
453.9,1.45
454.0,2.06
454.1,2.82
454.2,3.68
454.3,4.65
454.4,5.71
454.5,6.87
454.6,8.13
454.7,9.48
454.8,10.94
454.9,12.51
455.0,14.17
455.1,15.94
455.2,17.8
455.3,19.76
455.4,21.81
455.5,23.96
455.6,26.24
455.7,28.64
455.8,31.16
455.9,33.78
456.0,36.51
456.1,39.34
456.2,42.26
456.3,45.27
456.4,48.38
456.5,51.57
456.6,54.86
456.7,58.22
456.8,61.66
456.9,65.18
457.0,68.78
457.1,72.46
457.2,76.24
457.3,80.18
457.4,84.38
457.5,88.93
457.6,93.87
457.7,99.18
457.8,104.86
457.9,110.85
458.0,117.11
458.1,123.64
458.2,130.44
458.3,137.48
458.4,144.75
458.5,152.21
458.6,159.87
458.7,167.72
458.8,175.76
458.9,183.98
459.0,192.39
459.1,200.98
459.2,209.77
459.3,218.75
459.4,227.94
459.5,237.4
459.6,247.11
459.7,257.03
459.8,267.17
459.9,277.52
460.0,288.06
460.1,298.81
460.2,309.76
460.3,320.9
460.4,332.25
460.5,343.82
460.6,355.66
460.7,367.77
460.8,380.14
460.9,392.75
461.0,405.61
461.1,418.71
461.2,432.04
461.3,445.59
461.4,459.36
461.5,473.33
461.6,487.53
461.7,501.97
461.8,516.68
461.9,531.65
462.0,546.86
462.1,562.29
462.2,577.95
462.3,593.85
462.4,609.99
462.5,626.37
462.6,642.98
462.7,659.83
462.8,676.92
462.9,694.27
463.0,711.9
463.1,729.79
463.2,747.98
463.3,766.44
463.4,785.21
463.5,804.27
463.6,823.64
463.7,843.32
463.8,863.29
463.9,883.57
464.0,904.13
464.1,925.0
464.2,946.15
464.3,967.57
464.4,989.3
464.5,1011.36
464.6,1033.76
464.7,1056.54
464.8,1079.69
464.9,1103.26
465.0,1127.24
465.1,1151.66
465.2,1176.53
465.3,1201.87
465.4,1227.7
465.5,1254.06
465.6,1280.93
465.7,1308.35
465.8,1336.3
465.9,1364.85
466.0,1393.98
466.1,1423.71
466.2,1453.98
466.3,1484.76
466.4,1516.05
466.5,1547.86
466.6,1580.18
466.7,1613.03
466.8,1646.44
466.9,1680.43
467.0,1715.02
467.1,1750.23
467.2,1786.09
467.3,1822.65
467.4,1860.0
467.5,1898.17
467.6,1937.24
467.7,1977.44
467.8,2019.03
467.9,2062.11
468.0,2106.77
468.1,2153.1
468.2,2201.12
468.3,2250.86
468.4,2302.29
468.5,2355.59
468.6,2410.73
468.7,2467.68
468.8,2526.6
468.9,2587.59
469.0,2650.49
469.1,2715.31
469.2,2782.16
469.3,2851.2
469.4,2922.56
469.5,2996.25
469.6,3072.25
469.7,3151.02
469.8,3232.87
469.9,3317.92
470.0,3406.29
470.1,3499.31
470.2,3598.65
470.3,3704.14
470.4,3815.64
470.5,3932.55
470.6,4054.39
470.7,4180.68
470.8,4311.15
470.9,4445.53
471.0,4583.84
471.1,4726.35
471.2,4872.87
471.3,5023.76
471.4,5179.47
471.5,5339.69
471.6,5504.04
471.7,5672.26
471.8,5844.44
471.9,6020.61
472.0,6201.06
472.1,6386.78
472.2,6578.3
472.3,6775.83
472.4,6979.91
472.5,7190.19
472.6,7405.64
472.7,7625.7
472.8,7850.23
472.9,8079.43
473.0,8312.74
473.1,8549.63
473.2,8789.81
473.3,9033.37
473.4,9280.48
473.5,9530.87
473.6,9784.61
473.7,10041.51
473.8,10301.33
473.9,10564.1
474.0,10829.62
474.1,11097.77
474.2,11368.58
474.3,11642.15
474.4,11918.56
474.5,12197.79
474.6,12479.75
474.7,12764.46
474.8,13051.87
474.9,13341.95
475.0,13634.45
475.1,13929.16
475.2,14225.97
475.3,14524.67
475.4,14825.38
475.5,15127.99
475.6,15432.48
475.7,15738.87
475.8,16047.04
475.9,16357.18
476.0,16669.23
476.1,16983.28
476.2,17299.55
476.3,17618.54
476.4,17940.19
476.5,18264.07
476.6,18590.36
476.7,18919.12
476.8,19250.32
476.9,19584.08
477.0,19920.29
477.1,20259.04
477.2,20600.45
477.3,20944.55
477.4,21291.7
477.5,21642.32
477.6,21996.71
477.7,22354.92
477.8,22716.49
477.9,23081.39
478.0,23449.39
478.1,23820.45
478.2,24194.64
478.3,24571.73
478.4,24951.98
478.5,25335.31
478.6,25721.66
478.7,26110.66
478.8,26501.92
478.9,26895.65
479.0,27291.77
479.1,27689.99
479.2,28090.48
479.3,28493.16
479.4,28898.07
479.5,29305.09
479.6,29714.41
479.7,30126.17
479.8,30540.12
479.9,30956.49
480.0,31375.07
480.1,31795.69
480.2,32218.31
480.3,32642.81
480.4,33069.43
480.5,33498.11
480.6,33928.96
480.7,34361.97
480.8,34796.94
480.9,35234.26
481.0,35674.02
481.1,36116.19
481.2,36560.67
481.3,37007.24
481.4,37456.18
481.5,37907.48
481.6,38361.32
481.7,38817.8
481.8,39276.82
481.9,39738.96
482.0,40204.66
482.1,40673.97
482.2,41146.89
482.3,41622.97
482.4,42102.44
482.5,42585.2
482.6,43071.11
482.7,43559.85
482.8,44051.28
482.9,44545.69
483.0,45042.9
483.1,45543.06
483.2,46046.12
483.3,46552.1
483.4,47061.49
483.5,47573.96
483.6,48089.6
483.7,48608.43
483.8,49129.93
483.9,49654.3
484.0,50181.55
484.1,50711.7
484.2,51244.72
484.3,51780.65
484.4,52320.07
484.5,52862.95
484.6,53409.28
484.7,53959.27
484.8,54512.37
484.9,55068.89
485.0,55628.65
485.1,56191.76
485.2,56758.53
485.3,57328.85
485.4,57903.02
485.5,58480.81
485.6,59062.36
485.7,59647.98
485.8,60237.91
485.9,60832.32
486.0,61430.9
486.1,62033.65
486.2,62640.76
486.3,63252.01
486.4,63867.92
486.5,64488.58
486.6,65113.84
486.7,65743.59
486.8,66377.47
486.9,67015.59
487.0,67657.53
487.1,68303.29
487.2,68952.88
487.3,69606.28
487.4,70264.32
487.5,70927.05
487.6,71594.65
487.7,72267.0
487.8,72943.66
487.9,73625.05
488.0,74310.63
488.1,75000.68
488.2,75694.83
488.3,76392.59
488.4,77094.56
488.5,77800.46
488.6,78510.34
488.7,79223.97
488.8,79940.88
488.9,80661.46
489.0,81385.32
489.1,82112.46
489.2,82842.88
489.3,83576.35
489.4,84313.22
