08104650 Elevation,08104650 Capacity
706.5,0.0
706.6,0.0
706.7,0.0
706.8,0.0
706.9,0.01
707.0,0.02
707.1,0.02
707.2,0.04
707.3,0.05
707.4,0.07
707.5,0.09
707.6,0.11
707.7,0.14
707.8,0.18
707.9,0.22
708.0,0.27
708.1,0.32
708.2,0.39
708.3,0.46
708.4,0.55
708.5,0.65
708.6,0.76
708.7,0.88
708.8,1.01
708.9,1.14
709.0,1.28
709.1,1.43
709.2,1.58
709.3,1.74
709.4,1.91
709.5,2.09
709.6,2.27
709.7,2.46
709.8,2.65
709.9,2.85
710.0,3.06
710.1,3.27
710.2,3.49
710.3,3.72
710.4,3.95
710.5,4.19
710.6,4.43
710.7,4.68
710.8,4.94
710.9,5.2
711.0,5.47
711.1,5.74
711.2,6.02
711.3,6.31
711.4,6.6
711.5,6.9
711.6,7.2
711.7,7.51
711.8,7.82
711.9,8.15
712.0,8.47
712.1,8.81
712.2,9.15
712.3,9.49
712.4,9.85
712.5,10.22
712.6,10.6
712.7,11.0
712.8,11.41
712.9,11.84
713.0,12.29
713.1,12.74
713.2,13.22
713.3,13.7
713.4,14.2
713.5,14.72
713.6,15.24
713.7,15.78
713.8,16.33
713.9,16.89
714.0,17.46
714.1,18.05
714.2,18.64
714.3,19.25
714.4,19.86
714.5,20.49
714.6,21.13
714.7,21.78
714.8,22.44
714.9,23.11
715.0,23.8
715.1,24.49
715.2,25.2
715.3,25.92
715.4,26.65
715.5,27.4
715.6,28.17
715.7,28.96
715.8,29.77
715.9,30.6
716.0,31.45
716.1,32.31
716.2,33.2
716.3,34.09
716.4,35.01
716.5,35.94
716.6,36.89
716.7,37.86
716.8,38.85
716.9,39.86
717.0,40.89
717.1,41.94
717.2,43.02
717.3,44.12
717.4,45.25
717.5,46.39
717.6,47.56
717.7,48.75
717.8,49.95
717.9,51.18
718.0,52.43
718.1,53.69
718.2,54.97
718.3,56.27
718.4,57.59
718.5,58.93
718.6,60.28
718.7,61.65
718.8,63.04
718.9,64.44
719.0,65.87
719.1,67.31
719.2,68.77
719.3,70.25
719.4,71.74
719.5,73.26
719.6,74.8
719.7,76.35
719.8,77.93
719.9,79.52
720.0,81.13
720.1,82.76
720.2,84.42
720.3,86.09
720.4,87.79
720.5,89.5
720.6,91.24
720.7,93.01
720.8,94.79
720.9,96.6
721.0,98.44
721.1,100.3
721.2,102.18
721.3,104.09
721.4,106.02
721.5,107.98
721.6,109.97
721.7,111.98
721.8,114.02
721.9,116.08
722.0,118.18
722.1,120.29
722.2,122.44
722.3,124.62
722.4,126.82
722.5,129.06
722.6,131.32
722.7,133.62
722.8,135.94
722.9,138.29
723.0,140.68
723.1,143.1
723.2,145.55
723.3,148.03
723.4,150.55
723.5,153.09
723.6,155.67
723.7,158.29
723.8,160.94
723.9,163.63
724.0,166.34
724.1,169.1
724.2,171.89
724.3,174.72
724.4,177.59
724.5,180.51
724.6,183.5
724.7,186.59
724.8,189.8
724.9,193.14
725.0,196.6
725.1,200.2
725.2,203.95
725.3,207.86
725.4,211.92
725.5,216.12
725.6,220.47
725.7,224.93
725.8,229.49
725.9,234.15
726.0,238.9
726.1,243.74
726.2,248.68
726.3,253.7
726.4,258.82
726.5,264.02
726.6,269.31
726.7,274.69
726.8,280.16
726.9,285.72
727.0,291.37
727.1,297.1
727.2,302.93
727.3,308.85
727.4,314.87
727.5,320.99
727.6,327.2
727.7,333.52
727.8,339.94
727.9,346.46
728.0,353.09
728.1,359.84
728.2,366.71
728.3,373.71
728.4,380.85
728.5,388.12
728.6,395.57
728.7,403.18
728.8,410.96
728.9,418.9
729.0,426.98
729.1,435.2
729.2,443.56
729.3,452.06
729.4,460.71
729.5,469.5
729.6,478.44
729.7,487.53
729.8,496.76
729.9,506.13
730.0,515.63
730.1,525.26
730.2,535.0
730.3,544.85
730.4,554.81
730.5,564.88
730.6,575.05
730.7,585.33
730.8,595.7
730.9,606.18
731.0,616.75
731.1,627.42
731.2,638.2
731.3,649.07
731.4,660.04
731.5,671.12
731.6,682.3
731.7,693.59
731.8,704.99
731.9,716.5
732.0,728.1
732.1,739.81
732.2,751.62
732.3,763.52
732.4,775.53
732.5,787.63
732.6,799.84
732.7,812.15
732.8,824.56
732.9,837.09
733.0,849.72
733.1,862.46
733.2,875.31
733.3,888.26
733.4,901.3
733.5,914.43
733.6,927.66
733.7,940.99
733.8,954.4
733.9,967.92
734.0,981.54
734.1,995.25
734.2,1009.08
734.3,1023.0
734.4,1037.03
734.5,1051.16
734.6,1065.39
734.7,1079.73
734.8,1094.19
734.9,1108.77
735.0,1123.45
735.1,1138.25
735.2,1153.17
735.3,1168.19
735.4,1183.33
735.5,1198.58
735.6,1213.94
735.7,1229.42
735.8,1245.02
735.9,1260.73
736.0,1276.55
736.1,1292.48
736.2,1308.53
736.3,1324.69
736.4,1340.97
736.5,1357.35
736.6,1373.85
736.7,1390.47
736.8,1407.2
736.9,1424.07
737.0,1441.06
737.1,1458.17
737.2,1475.43
737.3,1492.82
737.4,1510.36
737.5,1528.02
737.6,1545.83
737.7,1563.79
737.8,1581.88
737.9,1600.13
738.0,1618.53
738.1,1637.08
738.2,1655.8
738.3,1674.67
738.4,1693.73
738.5,1712.94
738.6,1732.31
738.7,1751.85
738.8,1771.55
738.9,1791.43
739.0,1811.45
739.1,1831.63
739.2,1851.97
739.3,1872.43
739.4,1893.06
739.5,1913.81
739.6,1934.71
739.7,1955.76
739.8,1976.95
739.9,1998.28
740.0,2019.75
740.1,2041.37
740.2,2063.14
740.3,2085.06
740.4,2107.14
740.5,2129.36
740.6,2151.72
740.7,2174.23
740.8,2196.87
740.9,2219.66
741.0,2242.58
741.1,2265.63
741.2,2288.83
741.3,2312.15
741.4,2335.62
741.5,2359.21
741.6,2382.94
741.7,2406.82
741.8,2430.82
741.9,2454.97
742.0,2479.26
742.1,2503.7
742.2,2528.29
742.3,2553.02
742.4,2577.89
742.5,2602.9
742.6,2628.03
742.7,2653.32
742.8,2678.73
742.9,2704.29
743.0,2729.97
743.1,2755.79
743.2,2781.76
743.3,2807.85
743.4,2834.08
743.5,2860.43
743.6,2886.92
743.7,2913.56
743.8,2940.33
743.9,2967.25
744.0,2994.31
744.1,3021.5
744.2,3048.86
744.3,3076.34
744.4,3103.99
744.5,3131.78
744.6,3159.72
744.7,3187.84
744.8,3216.1
744.9,3244.53
745.0,3273.1
745.1,3301.84
745.2,3330.77
745.3,3359.89
745.4,3389.22
745.5,3418.72
745.6,3448.37
745.7,3478.21
745.8,3508.19
745.9,3538.34
746.0,3568.64
746.1,3599.11
746.2,3629.76
746.3,3660.55
746.4,3691.52
746.5,3722.61
746.6,3753.85
746.7,3785.25
746.8,3816.77
746.9,3848.45
747.0,3880.24
747.1,3912.18
747.2,3944.27
747.3,3976.48
747.4,4008.84
747.5,4041.34
747.6,4073.99
747.7,4106.84
747.8,4139.84
747.9,4173.01
748.0,4206.31
748.1,4239.75
748.2,4273.36
748.3,4307.09
748.4,4341.0
748.5,4375.03
748.6,4409.21
748.7,4443.56
748.8,4478.05
748.9,4512.7
749.0,4547.48
749.1,4582.42
749.2,4617.52
749.3,4652.76
749.4,4688.16
749.5,4723.7
749.6,4759.39
749.7,4795.25
749.8,4831.26
749.9,4867.45
750.0,4903.78
750.1,4940.27
750.2,4976.93
750.3,5013.73
750.4,5050.72
750.5,5087.85
750.6,5125.15
750.7,5162.62
750.8,5200.23
750.9,5238.02
751.0,5275.95
751.1,5314.03
751.2,5352.28
751.3,5390.66
751.4,5429.21
751.5,5467.89
751.6,5506.72
751.7,5545.71
751.8,5584.81
751.9,5624.07
752.0,5663.44
752.1,5702.95
752.2,5742.62
752.3,5782.39
752.4,5822.32
752.5,5862.35
752.6,5902.51
752.7,5942.82
752.8,5983.23
752.9,6023.8
753.0,6064.46
753.1,6105.25
753.2,6146.19
753.3,6187.22
753.4,6228.41
753.5,6269.69
753.6,6311.09
753.7,6352.65
753.8,6394.3
753.9,6436.1
754.0,6478.0
754.1,6520.03
754.2,6562.21
754.3,6604.5
754.4,6646.94
754.5,6689.5
754.6,6732.21
754.7,6775.08
754.8,6818.09
754.9,6861.27
755.0,6904.59
755.1,6948.05
755.2,6991.69
755.3,7035.47
755.4,7079.43
755.5,7123.51
755.6,7167.76
755.7,7212.19
755.8,7256.75
